Id,Level,TopicHeading,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,Topic
ENG43,5,Vocabulary : Beginner,Choose the antonym of full.,Tall,Wide,Heavy,Empty,Empty,MCQ,Vocabulary
ENG44,5,Vocabulary : Beginner,Choose the synonym of silent.,Busy,Loud,Quiet,Rough,Quiet,MCQ,Vocabulary
ENG45,5,Vocabulary : Beginner,Choose the antonym of strong.,Weak,Tough,Brave,Hard,Weak,MCQ,Vocabulary
ENG46,5,Vocabulary : Beginner,Choose the synonym of old.,Fresh,New,Ancient,Young,Ancient,MCQ,Vocabulary
ENG47,5,Vocabulary : Beginner,Choose the antonym of near.,Close,Far,By,At,Far,MCQ,Vocabulary
ENG48,5,Vocabulary : Beginner,Choose the synonym of help.,Push,Assist,Hurt,Stop,Assist,MCQ,Vocabulary
ENG49,5,Vocabulary : Beginner,Choose the antonym of light.,Bright,Dark,Clear,Shiny,Dark,MCQ,Vocabulary
ENG50,5,Vocabulary : Beginner,Choose the synonym of laugh.,Cry,Smile,Sleep,Giggle,Giggle,MCQ,Vocabulary
ENG51,6,Naming Words,Which word is a Noun (Naming Word)?,apple,quickly,happy,run,apple,MCQ,Part of Speech
ENG52,6,Naming Words,Which word is a Noun (Naming Word)?,jump,blue,school,sing,school,MCQ,Part of Speech
ENG53,6,Naming Words,Which word is a Noun (Naming Word)?,cat,fast,swim,beautiful,cat,MCQ,Part of Speech
ENG54,6,Naming Words,Which word is a Noun (Naming Word)?,teacher,kind,read,slowly,teacher,MCQ,Part of Speech
ENG55,6,Naming Words,Which word is a Noun (Naming Word)?,dance,loudly,strong,book,book,MCQ,Part of Speech
ENG56,6,Naming Words,The _________ is barking loudly. (Noun),quickly,dog,run,happy,dog,MCQ,Part of Speech
ENG57,6,Naming Words,I read a _________ before bedtime. (Noun),book,sing,blue,jump,book,MCQ,Part of Speech
ENG58,6,Naming Words,We visited the _________ on Sunday. (Noun),play,nice,park,fast,park,MCQ,Part of Speech
ENG59,6,Naming Words,The _________ shines at night. (Noun),swim,run,moon,brightly,moon,MCQ,Part of Speech
ENG60,6,Naming Words,My sister has a pet _________. (Noun),kind,quickly,rabbit,jump,rabbit,MCQ,Part of Speech
ENG61,6,Naming Words,"Pick out the Naming Word: ""The boy kicked the ball.""",fast,ran,kicked,boy,boy,MCQ,Part of Speech
ENG62,6,Naming Words,"Pick out the Naming Word: ""The bird flew over the tree.""",flew,quickly,over,bird,bird,MCQ,Part of Speech
ENG63,6,Naming Words,"Pick out the Naming Word: ""The teacher wrote on the board.""",wrote,teacher,neatly,on,teacher,MCQ,Part of Speech
ENG64,6,Naming Words,"Pick out the Naming Word: ""The baby is sleeping.""",baby,quietly,sleeping,is,baby,MCQ,Part of Speech
ENG65,6,Naming Words,"Pick out the Naming Word: ""The farmer works in the field.""",hard,farmer,works,in,farmer,MCQ,Part of Speech
ENG66,6,Naming Words,Which word names a place?,run,jump,Dhaka,happy,Dhaka,MCQ,Part of Speech
ENG67,6,Naming Words,Which word names a person?,blue,teacher,write,swim,teacher,MCQ,Part of Speech
ENG68,6,Naming Words,Which word names an animal?,jump,fast,kind,tiger,tiger,MCQ,Part of Speech
ENG69,6,Naming Words,Which word names a thing?,run,play,loudly,pencil,pencil,MCQ,Part of Speech
ENG70,6,Naming Words,A noun is a _________ word.,doing,describing,joining,naming,naming,MCQ,Part of Speech
ENG71,7,Naming Words,Which word is NOT a Noun?,teacher,school,run,book,run,MCQ,Part of Speech
ENG72,7,Naming Words,Which word is NOT a Noun?,happy,cat,tree,boy,happy,MCQ,Part of Speech
ENG73,7,Naming Words,Which word is a Naming Word?,car,sing,beautiful,quickly,car,MCQ,Part of Speech
ENG74,7,Naming Words,Which word is a Naming Word?,elephant,kind,slowly,jump,elephant,MCQ,Part of Speech
ENG75,7,Naming Words,Which word is a Naming Word?,hospital,run,blue,write,hospital,MCQ,Part of Speech
ENG76,7,Naming Words,Which word is a Noun (Naming Word)?,hospital,sing,happy,quickly,hospital,MCQ,Part of Speech
ENG77,7,Naming Words,Which word is a Noun (Naming Word)?,jump,run,elephant,blue,elephant,MCQ,Part of Speech
ENG78,7,Naming Words,Which word is a Noun (Naming Word)?,bicycle,swim,slowly,kind,bicycle,MCQ,Part of Speech
ENG79,7,Naming Words,Which word is a Noun (Naming Word)?,write,garden,loudly,fast,garden,MCQ,Part of Speech
ENG80,7,Naming Words,Which word is a Noun (Naming Word)?,computer,beautiful,dance,quickly,computer,MCQ,Part of Speech
ENG81,7,Naming Words,The _________ rang loudly at the end of class. (Noun),bell,happy,run,jump,bell,MCQ,Part of Speech
ENG82,8,Naming Words,We crossed the _________ to reach the village. (Noun),sing,kind,bridge,slowly,bridge,MCQ,Part of Speech
ENG83,8,Naming Words,The _________ carried our books to school. (Noun),fast,bag,blue,play,bag,MCQ,Part of Speech
ENG84,8,Naming Words,I saw a _________ in the zoo. (Noun),happy,quickly,giraffe,run,giraffe,MCQ,Part of Speech
ENG85,8,Naming Words,The _________ stopped at the station. (Noun),kind,train,jump,loudly,train,MCQ,Part of Speech
ENG86,8,Naming Words,"Pick out the Naming Word: ""The girl drew a picture.""",beautifully,drew,girl,a,girl,MCQ,Part of Speech
ENG87,8,Naming Words,"Pick out the Naming Word: ""The lion slept under a tree.""",slept,quietly,lion,under,lion,MCQ,Part of Speech
ENG88,8,Naming Words,"Pick out the Naming Word: ""The doctor helped the patient.""",doctor,helped,carefully,the,doctor,MCQ,Part of Speech
ENG89,8,Naming Words,"Pick out the Naming Word: ""The children played in the playground.""",children,in,happily,played,children,MCQ,Part of Speech
ENG90,8,Naming Words,"Pick out the Naming Word: ""The ship sailed across the sea.""",ship,sailed,safely,across,ship,MCQ,Part of Speech
ENG91,9,Naming Words,Which word names a place?,run,jump,city,kind,city,MCQ,Part of Speech
ENG92,9,Naming Words,Which word names a person?,blue,nurse,write,quickly,nurse,MCQ,Part of Speech
ENG93,9,Naming Words,Which word names an animal?,slowly,zebra,play,happy,zebra,MCQ,Part of Speech
ENG94,9,Naming Words,Which word names a thing?,sing,clock,beautifully,run,clock,MCQ,Part of Speech
ENG95,9,Naming Words,"A noun can name a person, place, animal, or _________.",describe,doing,thing,action,thing,MCQ,Part of Speech
ENG96,9,Naming Words,Which word is NOT a Noun?,school,run,teacher,book,run,MCQ,Part of Speech
ENG97,9,Naming Words,Which word is NOT a Noun?,elephant,car,garden,happy,happy,MCQ,Part of Speech
ENG98,9,Naming Words,Which word is a Naming Word?,quickly,kind,mountain,jump,mountain,MCQ,Part of Speech
ENG99,9,Naming Words,Which word is a Naming Word?,play,beautiful,loudly,river,river,MCQ,Part of Speech
ENG100,9,Naming Words,Which word is a Naming Word?,run,airport,slowly,sing,airport,MCQ,Part of Speech
ENG101,10,Naming Words,Which word is a Noun (Naming Word)?,market,quickly,run,happy,market,MCQ,Part of Speech
ENG102,10,Naming Words,Which word is a Noun (Naming Word)?,jump,slowly,beautiful,teacher,teacher,MCQ,Part of Speech
ENG103,10,Naming Words,Which word is a Noun (Naming Word)?,loudly,castle,play,kind,castle,MCQ,Part of Speech
ENG104,10,Naming Words,Which word is a Noun (Naming Word)?,blue,pilot,fast,swim,pilot,MCQ,Part of Speech
ENG105,10,Naming Words,Which word is a Noun (Naming Word)?,island,quickly,sing,happy,island,MCQ,Part of Speech
ENG106,10,Naming Words,The _________ flew high in the sky. (Noun),jump,slowly,run,kite,kite,MCQ,Part of Speech
ENG107,10,Naming Words,We visited the _________ to borrow books. (Noun),library,play,quickly,kind,library,MCQ,Part of Speech
ENG108,10,Naming Words,The _________ cooked a delicious meal. (Noun),fast,sing,chef,loudly,chef,MCQ,Part of Speech
ENG109,10,Naming Words,I wrote with a _________. (Noun),jump,happy,crayon,run,crayon,MCQ,Part of Speech
ENG110,10,Naming Words,The _________ carried passengers across the river. (Noun),kind,boat,swim,slowly,boat,MCQ,Part of Speech
ENG111,11,Naming Words,"Pick out the Naming Word: ""The monkey climbed the tree.""",the,quickly,monkey,climbed,monkey,MCQ,Part of Speech
ENG112,11,Naming Words,"Pick out the Naming Word: ""The baker sold fresh bread.""",quickly,baker,fresh,sold,baker,MCQ,Part of Speech
ENG113,11,Naming Words,"Pick out the Naming Word: ""The rabbit hid in the bush.""",hid,quietly,rabbit,in,rabbit,MCQ,Part of Speech
ENG114,11,Naming Words,"Pick out the Naming Word: ""The artist painted a picture.""",painted,carefully,a,artist,artist,MCQ,Part of Speech
ENG115,11,Naming Words,"Pick out the Naming Word: ""The bus stopped near the school.""",near,safely,stopped,bus,bus,MCQ,Part of Speech
ENG116,11,Naming Words,Which word names a place?,beach,run,happy,jump,beach,MCQ,Part of Speech
ENG117,11,Naming Words,Which word names a person?,quickly,blue,firefighter,swim,firefighter,MCQ,Part of Speech
ENG118,11,Naming Words,Which word names an animal?,play,loudly,penguin,kind,penguin,MCQ,Part of Speech
ENG119,11,Naming Words,Which word names a thing?,helmet,run,happily,sing,helmet,MCQ,Part of Speech
ENG120,11,Naming Words,A Naming Word is another name for a _________.,conjunction,verb,noun,adjective,noun,MCQ,Part of Speech
ENG121,12,Naming Words,Which word is NOT a Noun?,carrot,school,tiger,run,run,MCQ,Part of Speech
ENG122,12,Naming Words,Which word is NOT a Noun?,airport,teacher,book,happy,happy,MCQ,Part of Speech
ENG123,12,Naming Words,Which word is a Naming Word?,jump,quickly,kind,crown,crown,MCQ,Part of Speech
ENG124,12,Naming Words,Which word is a Naming Word?,loudly,play,forest,beautiful,forest,MCQ,Part of Speech
ENG125,12,Naming Words,Which word is a Naming Word?,slowly,run,sing,astronaut,astronaut,MCQ,Part of Speech
ENG126,12,Naming Words,Which word is NOT a Noun?,apple,school,chair,quickly,quickly,MCQ,Part of Speech
ENG127,12,Naming Words,Which word is a Naming Word?,dance,river,loudly,kind,river,MCQ,Part of Speech
ENG128,12,Naming Words,Which word is a Naming Word?,happy,pencil,run,slowly,pencil,MCQ,Part of Speech
ENG129,12,Naming Words,Which word is NOT a Noun?,teacher,mountain,quickly,garden,quickly,MCQ,Part of Speech
ENG130,12,Naming Words,Which word is a Naming Word?,jump,bird,loudly,kind,bird,MCQ,Part of Speech
ENG131,13,Pronoun,Rina is my friend. _________ is very kind. (Pronoun),It,They,He,She,She,MCQ,Part of Speech
ENG132,13,Pronoun,Karim has a bicycle. _________ rides it every day. (Pronoun),It,They,She,He,He,MCQ,Part of Speech
ENG133,13,Pronoun,My cat is sleeping. _________ is under the table. (Pronoun),It,She,He,We,It,MCQ,Part of Speech
ENG134,13,Pronoun,Ali and I are classmates. _________ study together. (Pronoun),They,It,We,You,We,MCQ,Part of Speech
ENG135,13,Pronoun,Rupa and Sima are sisters. _________ play together. (Pronoun),They,We,She,It,They,MCQ,Part of Speech
ENG136,13,Pronoun,_________ am going to school now. (Pronoun),You,I,He,They,I,MCQ,Part of Speech
ENG137,13,Pronoun,Can _________ help me carry this bag? (Pronoun),He,I,You,She,You,MCQ,Part of Speech
ENG138,13,Pronoun,The dog is barking because _________ is hungry. (Pronoun),It,You,We,They,It,MCQ,Part of Speech
ENG139,13,Pronoun,My parents are at home. _________ are watching TV. (Pronoun),They,She,He,We,They,MCQ,Part of Speech
ENG140,13,Pronoun,Sara is reading a book. _________ likes reading. (Pronoun),She,They,He,It,She,MCQ,Part of Speech
ENG141,14,Pronoun,"Replace the Naming Word: ""Tom is playing football."" (Pronoun)",They,He,It,She,He,MCQ,Part of Speech
ENG142,14,Pronoun,"Replace the Naming Word: ""The bird is flying."" (Pronoun)",They,He,It,We,It,MCQ,Part of Speech
ENG143,14,Pronoun,"Replace the Naming Words: ""Rina and Mina are singing."" (Pronoun)",She,We,They,It,They,MCQ,Part of Speech
ENG144,14,Pronoun,Which word is a Pronoun?,happy,run,he,cat,he,MCQ,Part of Speech
ENG145,14,Pronoun,Which word is a Pronoun?,red,jump,book,they,they,MCQ,Part of Speech
ENG146,14,Pronoun,_________ are my best friends. (Pronoun),It,She,He,They,They,MCQ,Part of Speech
ENG147,14,Pronoun,My brother is tall. _________ plays basketball. (Pronoun),We,They,He,She,He,MCQ,Part of Speech
ENG148,14,Pronoun,The flower is beautiful. _________ smells nice. (Pronoun),He,It,You,They,It,MCQ,Part of Speech
ENG149,14,Pronoun,Nila and I went to the zoo. _________ saw many animals. (Pronoun),She,We,They,It,We,MCQ,Part of Speech
ENG150,14,Pronoun,_________ are a good student. (Pronoun),I,You,She,He,You,MCQ,Part of Speech
ENG151,15,Pronoun,"Pick out the Pronoun: ""She is drawing a picture.""",She,picture,is,drawing,She,MCQ,Part of Speech
ENG152,15,Pronoun,"Pick out the Pronoun: ""They are playing in the field.""",They,playing,are,field,They,MCQ,Part of Speech
ENG153,15,Pronoun,"Pick out the Pronoun: ""We love our school.""",We,love,school,our,We,MCQ,Part of Speech
ENG154,15,Pronoun,A pronoun is used instead of a _________ Word.,Doing,Naming,Joining,Describing,Naming,MCQ,Part of Speech
ENG155,15,Pronoun,"Replace the Naming Word: ""The children are laughing."" (Pronoun)",She,It,They,He,They,MCQ,Part of Speech
ENG156,15,Pronoun,The boys are playing cricket. _________ are having fun. (Pronoun),She,It,They,He,They,MCQ,Part of Speech
ENG157,15,Pronoun,My mother is a teacher. _________ teaches English. (Pronoun),She,He,We,They,She,MCQ,Part of Speech
ENG158,15,Pronoun,I have a pet fish. _________ swims in a bowl. (Pronoun),She,It,He,They,It,MCQ,Part of Speech
ENG159,15,Pronoun,Rahim and I went shopping. _________ bought some fruit. (Pronoun),They,He,She,We,We,MCQ,Part of Speech
ENG160,15,Pronoun,_________ am reading a storybook. (Pronoun),I,They,She,You,I,MCQ,Part of Speech
ENG161,16,Pronoun,"The teacher asked, Can _________ answer this question?"" (Pronoun)""",he,you,they,she,you,MCQ,Part of Speech
ENG162,16,Pronoun,My sisters are singing. _________ sound wonderful. (Pronoun),It,She,He,They,They,MCQ,Part of Speech
ENG163,16,Pronoun,The rabbit is eating a carrot. _________ looks happy. (Pronoun),It,We,You,They,It,MCQ,Part of Speech
ENG164,16,Pronoun,Fatema is my cousin. _________ lives in Dhaka. (Pronoun),He,It,They,She,She,MCQ,Part of Speech
ENG165,16,Pronoun,The students are studying. _________ have an exam tomorrow. (Pronoun),They,She,He,We,They,MCQ,Part of Speech
ENG166,16,Pronoun,"Replace the Naming Word: ""Mina is drawing a flower."" (Pronoun)",It,He,They,She,She,MCQ,Part of Speech
ENG167,16,Pronoun,"Replace the Naming Word: ""The tiger is sleeping."" (Pronoun)",They,He,It,We,It,MCQ,Part of Speech
ENG168,16,Pronoun,"Replace the Naming Words: ""Tom and Jerry are friends."" (Pronoun)",It,He,She,They,They,MCQ,Part of Speech
ENG169,16,Pronoun,Which word is a Pronoun?,book,run,they,beautiful,they,MCQ,Part of Speech
ENG170,16,Pronoun,Which word is a Pronoun?,jump,green,we,school,we,MCQ,Part of Speech
ENG171,17,Pronoun,_________ are going to the playground after school. (Pronoun),She,He,They,It,They,MCQ,Part of Speech
ENG172,17,Pronoun,My father drives a car. _________ goes to work every day. (Pronoun),They,We,He,She,He,MCQ,Part of Speech
ENG173,17,Pronoun,The computer is new. _________ works very fast. (Pronoun),They,He,It,You,It,MCQ,Part of Speech
ENG174,17,Pronoun,Ali and I cleaned the room. _________ finished quickly. (Pronoun),She,We,They,He,We,MCQ,Part of Speech
ENG175,17,Pronoun,_________ are my best teacher. (Pronoun),He,She,You,It,You,MCQ,Part of Speech
ENG176,17,Pronoun,"Pick out the Pronoun: ""He is riding a bicycle.""",is,riding,He,bicycle,He,MCQ,Part of Speech
ENG177,17,Pronoun,"Pick out the Pronoun: ""It is raining outside.""",outside,is,It,raining,It,MCQ,Part of Speech
ENG178,17,Pronoun,"Pick out the Pronoun: ""You are very helpful.""",very,are,You,helpful,You,MCQ,Part of Speech
ENG179,17,Pronoun,A pronoun can replace a _________. (Pronoun),Noun,Verb,Conjunction,Adjective,Noun,MCQ,Part of Speech
ENG180,17,Pronoun,"Replace the Naming Word: ""The girls are dancing."" (Pronoun)",They,She,It,He,They,MCQ,Part of Speech
ENG181,18,Pronoun,Arif is my brother. _________ likes football. (Pronoun),She,It,They,He,He,MCQ,Part of Speech
ENG182,18,Pronoun,The birds are flying in the sky. _________ are very high. (Pronoun),They,It,She,He,They,MCQ,Part of Speech
ENG183,18,Pronoun,I have a new pencil. _________ is blue. (Pronoun),It,She,He,They,It,MCQ,Part of Speech
ENG184,18,Pronoun,Salma and I are in the same class. _________ sit together. (Pronoun),She,They,He,We,We,MCQ,Part of Speech
ENG185,18,Pronoun,_________ are my best friends. (Pronoun),It,They,She,He,They,MCQ,Part of Speech
ENG186,18,Pronoun,My uncle is a doctor. _________ works at a hospital. (Pronoun),They,She,We,He,He,MCQ,Part of Speech
ENG187,18,Pronoun,The baby is sleeping. _________ is very quiet. (Pronoun),They,It,He,We,It,MCQ,Part of Speech
ENG188,18,Pronoun,Can _________ tell me the time? (Pronoun),She,I,He,You,You,MCQ,Part of Speech
ENG189,18,Pronoun,The children are in the library. _________ are reading books. (Pronoun),He,They,It,She,They,MCQ,Part of Speech
ENG190,18,Pronoun,_________ am learning English. (Pronoun),You,He,They,I,I,MCQ,Part of Speech
ENG191,19,Pronoun,"Replace the Naming Word: ""Rahim is eating an apple."" (Pronoun)",They,He,It,She,He,MCQ,Part of Speech
ENG192,19,Pronoun,"Replace the Naming Word: ""The horse is running fast."" (Pronoun)",They,We,It,He,It,MCQ,Part of Speech
ENG193,19,Pronoun,"Replace the Naming Words: ""Rita and Tina are watching TV."" (Pronoun)",It,He,She,They,They,MCQ,Part of Speech
ENG194,19,Pronoun,Which word is a Pronoun?,happy,car,they,run,they,MCQ,Part of Speech
ENG195,19,Pronoun,Which word is a Pronoun?,green,jump,you,tree,you,MCQ,Part of Speech
ENG196,19,Pronoun,_________ are going to visit our grandparents tomorrow. (Pronoun),He,She,They,It,They,MCQ,Part of Speech
ENG197,19,Pronoun,My aunt is cooking dinner. _________ is in the kitchen. (Pronoun),It,They,He,She,She,MCQ,Part of Speech
ENG198,19,Pronoun,The clock stopped working. _________ needs a new battery. (Pronoun),It,He,They,She,It,MCQ,Part of Speech
ENG199,19,Pronoun,Mina and I planted flowers. _________ watered them every day. (Pronoun),We,He,They,She,We,MCQ,Part of Speech
ENG200,19,Pronoun,_________ are a very kind person. (Pronoun),He,I,She,You,You,MCQ,Part of Speech
ENG201,20,Pronoun,"Pick out the Pronoun: ""They went to the market.""",market,They,went,to,They,MCQ,Part of Speech
ENG202,20,Pronoun,"Pick out the Pronoun: ""She sings beautifully.""",beautifully,sings,She,very,She,MCQ,Part of Speech
ENG203,20,Pronoun,"Pick out the Pronoun: ""It is on the table.""",on,table,It,is,It,MCQ,Part of Speech
ENG204,20,Pronoun,A pronoun takes the place of a _________. (Pronoun),Conjunction,Adjective,Verb,Noun,Noun,MCQ,Part of Speech
ENG205,20,Pronoun,"Replace the Naming Words: ""The boys are playing football."" (Pronoun)",It,She,He,They,They,MCQ,Part of Speech
ENG206,20,Pronoun,"Pick out the Pronoun: ""We love to play football.""",play,football,We,love,We,MCQ,Part of Speech
ENG207,20,Pronoun,"Pick out the Pronoun: ""He is reading a book.""",book,reading,He,is,He,MCQ,Part of Speech
ENG208,20,Pronoun,"Pick out the Pronoun: ""You are my best friend.""",friend,best,You,are,You,MCQ,Part of Speech
ENG209,20,Pronoun,Which word is a Pronoun?,quickly,she,garden,run,she,MCQ,Part of Speech
ENG210,20,Pronoun,"Replace the Naming Word: ""Rina is singing."" (Pronoun)",He,She,It,They,She,MCQ,Part of Speech
ENG211,21,Describing Words,She wore a _____ dress to the party. (Adjective),softly,beautiful,quickly,danced,beautiful,MCQ,Part of Speech
ENG212,21,Describing Words,The _____ tiger scared the villagers. (Adjective),jumped,slowly,fierce,loudly,fierce,MCQ,Part of Speech
ENG213,21,Describing Words,We live in a _____ house near the river. (Adjective),ran,happily,small,carefully,small,MCQ,Part of Speech
ENG214,21,Describing Words,The soup was very _____ today. (Adjective),tasty,ate,loudly,quickly,tasty,MCQ,Part of Speech
ENG215,21,Describing Words,He bought a _____ bicycle for his son. (Adjective),shiny,repaired,neatly,shouted,shiny,MCQ,Part of Speech
ENG216,21,Describing Words,The mountain is very _____. (Adjective),high,climbed,silently,played,high,MCQ,Part of Speech
ENG217,21,Describing Words,My grandfather told an _____ story. (Adjective),pushed,interesting,walked,slowly,interesting,MCQ,Part of Speech
ENG218,21,Describing Words,The baby has _____ cheeks. (Adjective),opened,quickly,soft,cried,soft,MCQ,Part of Speech
ENG219,21,Describing Words,We saw a _____ rainbow after the rain. (Adjective),loudly,jumped,danced,colorful,colorful,MCQ,Part of Speech
ENG220,21,Describing Words,The classroom was _____ after cleaning. (Adjective),swept,wrote,clean,carefully,clean,MCQ,Part of Speech
ENG221,22,Describing Words,The _____ puppy followed the boy home. (Adjective),sadly,repaired,cute,climbed,cute,MCQ,Part of Speech
ENG222,22,Describing Words,She gave me a _____ smile. (Adjective),painted,warm,fixed,silently,warm,MCQ,Part of Speech
ENG223,22,Describing Words,The road becomes _____ during winter. (Adjective),folded,slippery,washed,shouted,slippery,MCQ,Part of Speech
ENG224,22,Describing Words,It was a _____ day at the beach. (Adjective),swam,loudly,chased,sunny,sunny,MCQ,Part of Speech
ENG225,22,Describing Words,The _____ flowers filled the garden with beauty. (Adjective),quickly,fragrant,repaired,opened,fragrant,MCQ,Part of Speech
ENG226,22,Describing Words,He carried a _____ bag to school. (Adjective),laughed,floated,softly,heavy,heavy,MCQ,Part of Speech
ENG227,22,Describing Words,The movie was very _____. (Adjective),pushed,carefully,watched,exciting,exciting,MCQ,Part of Speech
ENG228,22,Describing Words,They adopted a _____ kitten from the shelter. (Adjective),climbed,tiny,borrowed,neatly,tiny,MCQ,Part of Speech
ENG229,22,Describing Words,The teacher gave us a _____ task. (Adjective),danced,difficult,silently,explained,difficult,MCQ,Part of Speech
ENG230,22,Describing Words,We enjoyed the _____ weather yesterday. (Adjective),mixed,shouted,pleasant,repaired,pleasant,MCQ,Part of Speech
ENG231,23,Describing Words,The _____ river flows through the village. (Adjective),wide,carried,happily,folded,wide,MCQ,Part of Speech
ENG232,23,Describing Words,She wore a _____ scarf in winter. (Adjective),softly,jumped,woolen,washed,woolen,MCQ,Part of Speech
ENG233,23,Describing Words,The child solved the _____ puzzle quickly. (Adjective),tricky,laughed,repaired,opened,tricky,MCQ,Part of Speech
