Id,Level,TopicHeading,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData
FENG35,4,Vocabulary : Beginner,Choose the antonym of early.,Fast,Quick,Soon,Late,Late,MCQ,
FENG36,4,Vocabulary : Beginner,Choose the synonym of brave.,Sad,Courageous,Weak,Cowardly,Courageous,MCQ,
FENG37,4,Vocabulary : Beginner,Choose the antonym of noisy.,Loud,Quiet,Bright,Busy,Quiet,MCQ,
FENG38,4,Vocabulary : Beginner,Choose the synonym of tiny.,Small,Tall,Long,Huge,Small,MCQ,
FENG39,4,Vocabulary : Beginner,Choose the antonym of rich.,Poor,Happy,Wealthy,Strong,Poor,MCQ,
FENG40,4,Vocabulary : Beginner,Match the antonyms.,,,,,,Match,"[{""left"":""Old"",""right"":""Young""},{""left"":""Full"",""right"":""Empty""},{""left"":""Heavy"",""right"":""Light""},{""left"":""Happy"",""right"":""Sad""}]"
FENG41,5,Vocabulary : Beginner,Choose the antonym of fast.,Sharp,Early,Slow,Quick,Slow,MCQ,
FENG42,5,Vocabulary : Beginner,Choose the synonym of beautiful.,Ugly,Plain,Pretty,Dirty,Pretty,MCQ,
FENG43,5,Vocabulary : Beginner,Choose the antonym of full.,Tall,Wide,Heavy,Empty,Empty,MCQ,
FENG44,5,Vocabulary : Beginner,Choose the synonym of silent.,Busy,Loud,Quiet,Rough,Quiet,MCQ,
FENG45,5,Vocabulary : Beginner,Choose the antonym of strong.,Weak,Tough,Brave,Hard,Weak,MCQ,
FENG46,5,Vocabulary : Beginner,Choose the synonym of old.,Fresh,New,Ancient,Young,Ancient,MCQ,
FENG47,5,Vocabulary : Beginner,Choose the antonym of near.,Close,Far,By,At,Far,MCQ,
FENG48,5,Vocabulary : Beginner,Choose the synonym of help.,Push,Assist,Hurt,Stop,Assist,MCQ,
FENG49,5,Vocabulary : Beginner,Choose the antonym of light.,Bright,Dark,Clear,Shiny,Dark,MCQ,
FENG50,5,Vocabulary : Beginner,Match the synonyms and antonyms.,,,,,,Match,"[{""left"":""Rich"",""right"":""Wealthy""},{""left"":""Silent"",""right"":""Quiet""},{""left"":""Early"",""right"":""Late""},{""left"":""Clean"",""right"":""Dirty""}]"
FL_ENG001,6,,,,,,,,Lesson,FL_ENG001
FENG51,6,Naming Words,Which word is the name of a city?,tiger,Dhaka,school,book,Dhaka,MCQ,
FENG52,6,Naming Words,Which word is a person's name?,Rahim,boy,school,chair,Rahim,MCQ,
FENG53,6,Naming Words,Which word is the name of a country?,Bangladesh,river,apple,teacher,Bangladesh,MCQ,
FENG54,6,Naming Words,Which word is the name of a girl?,Mina,cat,table,park,Mina,MCQ,
FENG55,6,Naming Words,Which word is the name of a boy?,Karim,bird,school,tree,Karim,MCQ,
FENG56,6,Naming Words,Which word is the name of a river?,Padma,book,doctor,bicycle,Padma,MCQ,
FENG57,6,Naming Words,Which word is the name of a school?,Sunrise School,lion,banana,bus,Sunrise School,MCQ,
FENG58,6,Naming Words,Which word is the name of a day?,Monday,teacher,apple,garden,Monday,MCQ,
FENG59,6,Naming Words,Which word is the name of a month?,July,rabbit,table,flower,July,MCQ,
FENG60,6,Naming Words,Which word is the name of a planet?,Earth,pencil,farmer,hospital,Earth,MCQ,
FENG61,7,Naming Words,Which word is a Noun (Naming Word)?,apple,quickly,happy,run,apple,MCQ,
FENG62,7,Naming Words,Which word is a Noun (Naming Word)?,jump,blue,school,sing,school,MCQ,
FENG63,7,Naming Words,Which word is a Noun (Naming Word)?,cat,fast,swim,beautiful,cat,MCQ,
FENG64,7,Naming Words,Which word is a Noun (Naming Word)?,teacher,kind,read,slowly,teacher,MCQ,
FENG65,7,Naming Words,Which word is a Noun (Naming Word)?,dance,loudly,strong,book,book,MCQ,
FENG66,7,Naming Words,The _________ is barking loudly. (Noun),quickly,dog,run,happy,dog,MCQ,
FENG67,7,Naming Words,I read a _________ before bedtime. (Noun),book,sing,blue,jump,book,MCQ,
FENG68,7,Naming Words,We visited the _________ on Sunday. (Noun),play,nice,park,fast,park,MCQ,
FENG69,7,Naming Words,The _________ shines at night. (Noun),swim,run,moon,brightly,moon,MCQ,
FENG70,7,Naming Words,My sister has a pet _________. (Noun),kind,quickly,rabbit,jump,rabbit,MCQ,
FENG71,8,Naming Words,"Pick out the Naming Word: ""The boy is running.""",fast,ran,kicked,boy,boy,MCQ,
FENG72,8,Naming Words,"Pick out the Naming Word: ""The bird is flying.""",flew,quickly,over,bird,bird,MCQ,
FENG73,8,Naming Words,"Pick out the Naming Word: ""The teacher smiled.""",wrote,teacher,neatly,on,teacher,MCQ,
FENG74,8,Naming Words,"Pick out the Naming Word: ""The baby is sleeping.""",baby,quietly,sleeping,is,baby,MCQ,
FENG75,8,Naming Words,"Which two words are naming words: ""The farmer works in the field.""",works & field,farmer & works,field & works,farmer & field,farmer & field,MCQ,
FENG76,8,Naming Words,Which word names a place?,run,jump,Dhaka,happy,Dhaka,MCQ,
FENG77,8,Naming Words,Which word names a person?,blue,teacher,write,swim,teacher,MCQ,
FENG78,8,Naming Words,Which word names an animal?,jump,fast,kind,tiger,tiger,MCQ,
FENG79,8,Naming Words,Which word names a thing?,run,play,loudly,pencil,pencil,MCQ,
FENG80,8,Naming Words,A noun is a _________ word.,doing,describing,joining,naming,naming,MCQ,
FENG81,9,Naming Words,Which word is NOT a Noun?,teacher,school,run,book,run,MCQ,
FENG82,9,Naming Words,Which word is NOT a Noun?,happy,cat,tree,boy,happy,MCQ,
FENG83,9,Naming Words,Which word is a Naming Word?,car,sing,beautiful,quickly,car,MCQ,
FENG84,9,Naming Words,Which word is a Naming Word?,elephant,kind,slowly,jump,elephant,MCQ,
FENG85,9,Naming Words,Which word is a Naming Word?,hospital,run,blue,write,hospital,MCQ,
FENG86,9,Naming Words,Which word is a Noun (Naming Word)?,hospital,sing,happy,quickly,hospital,MCQ,
FENG87,9,Naming Words,Which word is a Noun (Naming Word)?,jump,run,elephant,blue,elephant,MCQ,
FENG88,9,Naming Words,Which word is a Noun (Naming Word)?,bicycle,swim,slowly,kind,bicycle,MCQ,
FENG89,9,Naming Words,Which word is a Noun (Naming Word)?,write,garden,loudly,fast,garden,MCQ,
FENG90,9,Naming Words,Which word is a Noun (Naming Word)?,computer,beautiful,dance,quickly,computer,MCQ,
FENG91,10,Naming Words,The _________ rang loudly at the end of class. (Noun),bell,happy,run,jump,bell,MCQ,
FENG92,10,Naming Words,We crossed the _________ to reach the village. (Noun),sing,kind,bridge,slowly,bridge,MCQ,
FENG93,10,Naming Words,The _________ carried our books to school. (Noun),fast,bag,blue,play,bag,MCQ,
FENG94,10,Naming Words,I saw a _________ in the zoo. (Noun),happy,quickly,giraffe,run,giraffe,MCQ,
FENG95,10,Naming Words,The _________ stopped at the station. (Noun),kind,train,jump,loudly,train,MCQ,
FENG96,10,Naming Words,"Pick out the Naming Word: ""The girl drew a picture.""",beautifully,drew,girl,a,girl,MCQ,
FENG97,10,Naming Words,"Pick out the Naming Word: ""The lion slept under a tree.""",slept,quietly,lion,under,lion,MCQ,
FENG98,10,Naming Words,"Pick out the Naming Word: ""The doctor helped the patient.""",doctor,helped,carefully,the,doctor,MCQ,
FENG99,10,Naming Words,"Pick out the Naming Word: ""The children played in the playground.""",children,in,happily,played,children,MCQ,
FENG100,10,Naming Words,"Which two words are naming words: ""The ship sailed across the sea.""",ship & sea,sailed & across,ship & sailed,sailed & sea,ship & sea,MCQ,
FENG101,11,Naming Words,Which word names a place?,run,jump,city,kind,city,MCQ,
FENG102,11,Naming Words,Which word names a person?,blue,nurse,write,quickly,nurse,MCQ,
FENG103,11,Naming Words,Which word names an animal?,slowly,zebra,play,happy,zebra,MCQ,
FENG104,11,Naming Words,Which word names a thing?,sing,clock,beautifully,run,clock,MCQ,
FENG105,11,Naming Words,"A noun can name a person, place, animal, or _________.",describe,doing,thing,action,thing,MCQ,
FENG106,11,Naming Words,Which word is NOT a Noun?,school,run,teacher,book,run,MCQ,
FENG107,11,Naming Words,Which word is NOT a Noun?,elephant,car,garden,happy,happy,MCQ,
FENG108,11,Naming Words,Which word is a Naming Word?,quickly,kind,mountain,jump,mountain,MCQ,
FENG109,11,Naming Words,Which word is a Naming Word?,play,beautiful,loudly,river,river,MCQ,
FENG110,11,Naming Words,Which word is a Naming Word?,run,airport,slowly,sing,airport,MCQ,
FENG111,12,Naming Words,Which word is a Noun (Naming Word)?,market,quickly,run,happy,market,MCQ,
FENG112,12,Naming Words,Which word is a Noun (Naming Word)?,jump,slowly,beautiful,teacher,teacher,MCQ,
FENG113,12,Naming Words,Which word is a Noun (Naming Word)?,loudly,castle,play,kind,castle,MCQ,
FENG114,12,Naming Words,Which word is a Noun (Naming Word)?,blue,pilot,fast,swim,pilot,MCQ,
FENG115,12,Naming Words,Which word is a Noun (Naming Word)?,island,quickly,sing,happy,island,MCQ,
FENG116,12,Naming Words,The _________ flew high in the sky. (Noun),jump,slowly,run,kite,kite,MCQ,
FENG117,12,Naming Words,We visited the _________ to borrow books. (Noun),library,play,quickly,kind,library,MCQ,
FENG118,12,Naming Words,The _________ cooked a delicious meal. (Noun),fast,sing,chef,loudly,chef,MCQ,
FENG119,12,Naming Words,I wrote with a _________. (Noun),jump,happy,crayon,run,crayon,MCQ,
FENG120,12,Naming Words,The _________ carried passengers across the river. (Noun),kind,boat,swim,slowly,boat,MCQ,
FENG121,13,Naming Words,"Which two words are naming words: ""The monkey climbed the tree.""",climbed & tree,monkey & climbed,monkey & tree,climbed & tree,monkey & tree,MCQ,
FENG122,13,Naming Words,"Which two words are naming words: ""The baker sold fresh bread.""",bread & fresh,baker & bread,fresh & baker,fresh & sold,baker & bread,MCQ,
FENG123,13,Naming Words,"Which two words are naming words: ""The rabbit hid in the bush.""",rabbit & hid,hid & bush,rabbit & bush,hid & in,rabbit & bush,MCQ,
FENG124,13,Naming Words,"Which two words are naming words: ""The artist painted a picture.""",artist & painted,painted & picture,artist & picture,,artist & picture,MCQ,
FENG125,13,Naming Words,"Which two words are naming words: ""The bus stopped near the school.""",bus & stopped,stopped & school,near & stopped,bus & school,bus & school,MCQ,
FENG126,13,Naming Words,Which word names a place?,beach,run,happy,jump,beach,MCQ,
FENG127,13,Naming Words,Which word names a person?,quickly,blue,firefighter,swim,firefighter,MCQ,
FENG128,13,Naming Words,Which word names an animal?,play,loudly,penguin,kind,penguin,MCQ,
FENG129,13,Naming Words,Which word names a thing?,helmet,run,happily,sing,helmet,MCQ,
FENG130,13,Naming Words,A Naming Word is another name for a _________.,conjunction,verb,noun,adjective,noun,MCQ,
FENG131,14,Naming Words,Which word is NOT a Noun?,carrot,school,tiger,run,run,MCQ,
FENG132,14,Naming Words,Which word is NOT a Noun?,airport,teacher,book,happy,happy,MCQ,
FENG133,14,Naming Words,Which word is a Naming Word?,jump,quickly,kind,crown,crown,MCQ,
FENG134,14,Naming Words,Which word is a Naming Word?,loudly,play,forest,beautiful,forest,MCQ,
FENG135,14,Naming Words,Which word is a Naming Word?,slowly,run,sing,astronaut,astronaut,MCQ,
FENG136,14,Naming Words,Which word is NOT a Noun?,apple,school,chair,quickly,quickly,MCQ,
FENG137,14,Naming Words,Which word is a Naming Word?,dance,river,loudly,kind,river,MCQ,
FENG138,14,Naming Words,Which word is a Naming Word?,happy,pencil,run,slowly,pencil,MCQ,
FENG139,14,Naming Words,Which word is NOT a Noun?,teacher,mountain,quickly,garden,quickly,MCQ,
FENG140,14,Naming Words,Which word is a Naming Word?,jump,bird,loudly,kind,bird,MCQ,
FL_ENG002,15,,,,,,,,Lesson,FL_ENG002
FENG141,15,Action Words,What is the goalkeeper doing?,catching,drinking,reading,writing,catching,MCQ,catch.png
FENG142,15,Action Words,What is the woman doing?,drinking,eating,pushing,swimming,drinking,MCQ,drink.png
FENG143,15,Action Words,What is the girl doing?,eating,throwing,reading,sliding,eating,MCQ,eat.png
FENG144,15,Action Words,What is the girl doing?,pushing,catching,writing,swimming,pushing,MCQ,push.png
FENG145,15,Action Words,What is the boy doing?,reading,drinking,throwing,sleeping,reading,MCQ,read.png
FENG146,15,Action Words,What is the man doing?,sleeping,sliding,swimming,writing,sleeping,MCQ,sleep.png
FENG147,15,Action Words,What is the boy doing?,sliding,catching,eating,pushing,sliding,MCQ,slide.png
FENG148,15,Action Words,What are the men doing?,swimming,drinking,throwing,reading,swimming,MCQ,swim.png
FENG149,15,Action Words,What is the player doing?,throwing,pushing,eating,writing,throwing,MCQ,throw.png
FENG150,15,Action Words,What is the girl doing?,writing,reading,catching,drinking,writing,MCQ,write.png
FENG151,16,Action Words,I _____ the bus because I was late. (Verb),ate,jumped,missed,rushed,missed,MCQ,
FENG152,16,Action Words,She _____ her homework before dinner. (Verb),completed,painted,danced,slept,completed,MCQ,
FENG153,16,Action Words,They _____ football in the field yesterday. (Verb),played,washed,opened,cooked,played,MCQ,
FENG154,16,Action Words,We _____ to the zoo last Sunday. (Verb),drank,sang,walked,repaired,walked,MCQ,
FENG155,16,Action Words,He _____ a glass of water after running. (Verb),kicked,watched,closed,drank,drank,MCQ,
FENG156,16,Action Words,The baby _____ loudly at night. (Verb),fixed,cried,jumped,built,cried,MCQ,
FENG157,16,Action Words,My father _____ a new car last year. (Verb),bought,climbed,threw,painted,bought,MCQ,
FENG158,16,Action Words,The teacher _____ the lesson clearly. (Verb),chased,explained,washed,borrowed,explained,MCQ,
FENG159,16,Action Words,I _____ my friend at the market yesterday. (Verb),met,pushed,cleaned,opened,met,MCQ,
FENG160,16,Action Words,She _____ the flowers every morning. (Verb),breaks,tears,cuts,waters,waters,MCQ,
FENG161,17,Action Words,The dog _____ after the cat. (Verb),smiled,cooked,ran,slept,ran,MCQ,
FENG162,17,Action Words,We _____ a movie together last night. (Verb),repaired,planted,watched,mixed,watched,MCQ,
FENG163,17,Action Words,He _____ the door carefully. (Verb),kicked,opened,climbed,folded,opened,MCQ,
FENG164,17,Action Words,They _____ the classroom before leaving. (Verb),borrowed,chased,cleaned,painted,cleaned,MCQ,
FENG165,17,Action Words,I _____ my keys on the table. (Verb),shouted,drew,climbed,kept,kept,MCQ,
FENG166,17,Action Words,The boys _____ in the river during summer. (Verb),built,fixed,carried,swam,swam,MCQ,
FENG167,17,Action Words,She _____ a beautiful song at the event. (Verb),jumped,washed,sang,pushed,sang,MCQ,
FENG168,17,Action Words,We _____ our grandparents during Eid vacation. (Verb),borrowed,visited,painted,repaired,visited,MCQ,
FENG169,17,Action Words,He _____ the heavy box upstairs. (Verb),slept,smiled,carried,floated,carried,MCQ,
FENG170,17,Action Words,The students _____ quietly in the library. (Verb),studied,climbed,shouted,chased,studied,MCQ,
FENG171,18,Action Words,I _____ an interesting storybook yesterday. (Verb),read,opened,repaired,pushed,read,MCQ,
FENG172,18,Action Words,Mother _____ delicious biryani for lunch. (Verb),cooked,climbed,washed,chased,cooked,MCQ,
FENG173,18,Action Words,The bird _____ high in the sky. (Verb),flew,crawled,folded,repaired,flew,MCQ,
FENG174,18,Action Words,We _____ the match with great excitement. (Verb),enjoyed,mixed,planted,borrowed,enjoyed,MCQ,
FENG175,18,Action Words,He _____ his bicycle very fast. (Verb),rode,slept,smiled,painted,rode,MCQ,
FENG176,18,Action Words,The children _____ happily in the playground. (Verb),painted,laughed,repaired,folded,laughed,MCQ,
FENG177,18,Action Words,I _____ my old teacher at the shopping mall. (Verb),cooked,saw,planted,climbed,saw,MCQ,
FENG178,18,Action Words,She _____ the answer correctly in class. (Verb),answered,washed,floated,borrowed,answered,MCQ,
FENG179,18,Action Words,They _____ trees beside the road last year. (Verb),planted,repaired,pushed,shouted,planted,MCQ,
FENG180,18,Action Words,He _____ his hands before eating. (Verb),carried,mixed,washed,kicked,washed,MCQ,
FENG181,19,Action Words,We _____ tea together in the evening. (Verb),drank,painted,climbed,fixed,drank,MCQ,
FENG182,19,Action Words,The cat _____ under the table quietly. (Verb),borrowed,slept,repaired,opened,slept,MCQ,
FENG183,19,Action Words,She _____ a letter to her cousin yesterday. (Verb),wrote,folded,pushed,climbed,wrote,MCQ,
FENG184,19,Action Words,The boy _____ the ball very hard. (Verb),washed,planted,repaired,kicked,kicked,MCQ,
FENG185,19,Action Words,I _____ my bag near the window. (Verb),mixed,placed,floated,chased,placed,MCQ,
FENG186,19,Action Words,They _____ the problem very quickly. (Verb),climbed,painted,solved,shouted,solved,MCQ,
FENG187,19,Action Words,He _____ his little sister to school. (Verb),borrowed,repaired,took,folded,took,MCQ,
FENG188,19,Action Words,The farmer _____ rice in the field. (Verb),washes,fixes,climbs,grows,grows,MCQ,
FENG189,19,Action Words,We _____ the picnic very much. (Verb),carried,planted,pushed,enjoyed,enjoyed,MCQ,
FENG190,19,Action Words,She _____ the candle with a match. (Verb),borrowed,floated,painted,lit,lit,MCQ,
FENG191,20,Action Words,The students _____ the national anthem together. (Verb),repaired,sang,folded,chased,sang,MCQ,
FENG192,20,Action Words,I _____ the window because it was hot. (Verb),opened,planted,climbed,mixed,opened,MCQ,
FENG193,20,Action Words,He _____ all the questions in the exam. (Verb),floated,answered,repaired,shouted,answered,MCQ,
FENG194,20,Action Words,The girls _____ colorful pictures in art class. (Verb),borrowed,climbed,drew,fixed,drew,MCQ,
FENG195,20,Action Words,We _____ our lunch under the big tree. (Verb),ate,painted,folded,repaired,ate,MCQ,
FENG196,20,Action Words,She _____ the baby gently to sleep. (Verb),chased,washed,hugged,planted,hugged,MCQ,
FENG197,20,Action Words,The train _____ at the station on time. (Verb),floated,arrived,repaired,climbed,arrived,MCQ,
FENG198,20,Action Words,I _____ my phone charger from my friend. (Verb),borrowed,painted,kicked,mixed,borrowed,MCQ,
FENG199,20,Action Words,They _____ the floor after the party. (Verb),folded,shouted,climbed,swept,swept,MCQ,
FENG200,20,Action Words,He _____ the truth without fear. (Verb),spoke,floated,repaired,planted,spoke,MCQ,
FENG201,21,Action Words,The doctor treats patients with proper care. Choose the correct verb.,doctor,patients,proper,treats,treats,MCQ,
FENG202,21,Action Words,My brother plays cricket every afternoon. Choose the correct verb.,afternoon,brother,cricket,plays,plays,MCQ,
FENG203,21,Action Words,The teacher explains the lesson clearly. Choose the correct verb.,clearly,teacher,lesson,explains,explains,MCQ,
FENG204,21,Action Words,Birds fly in the blue sky. Choose the correct verb.,fly,sky,blue,birds,fly,MCQ,
FENG205,21,Action Words,The baby cries loudly at night. Choose the correct verb.,cries,night,loudly,baby,cries,MCQ,
FENG206,21,Action Words,Mother cooks delicious food for us. Choose the correct verb.,delicious,food,mother,cooks,cooks,MCQ,
FENG207,21,Action Words,The boy opened the window quickly. Choose the correct verb.,window,boy,quickly,opened,opened,MCQ,
FENG208,21,Action Words,Farmers grow rice in the village. Choose the correct verb.,rice,farmers,grow,village,grow,MCQ,
FENG209,21,Action Words,She writes beautiful stories in her notebook. Choose the correct verb.,notebook,stories,writes,beautiful,writes,MCQ,
FENG210,21,Action Words,The dog chased the cat yesterday. Choose the correct verb.,cat,yesterday,dog,chased,chased,MCQ,
FENG211,22,Action Words,We watched a movie last night. Choose the correct verb.,night,movie,watched,last,watched,MCQ,
FENG212,22,Action Words,The student answered the question correctly. Choose the correct verb.,student,question,correctly,answered,answered,MCQ,
FENG213,22,Action Words,Father drives carefully on busy roads. Choose the correct verb.,father,busy,drives,roads,drives,MCQ,
FENG214,22,Action Words,The children laughed at the funny clown. Choose the correct verb.,children,funny,laughed,clown,laughed,MCQ,
FENG215,22,Action Words,My friend borrowed my pencil yesterday. Choose the correct verb.,pencil,friend,yesterday,borrowed,borrowed,MCQ,
FENG216,22,Action Words,The train arrived at the station late. Choose the correct verb.,arrived,late,station,train,arrived,MCQ,
FENG217,22,Action Words,The girls danced beautifully on the stage. Choose the correct verb.,stage,girls,beautifully,danced,danced,MCQ,
FENG218,22,Action Words,He repaired the broken chair himself. Choose the correct verb.,broken,repaired,himself,chair,repaired,MCQ,
FENG219,22,Action Words,The cat slept under the table quietly. Choose the correct verb.,cat,table,slept,quietly,slept,MCQ,
FENG220,22,Action Words,Students study hard before exams. Choose the correct verb.,exams,students,hard,study,study,MCQ,
FENG221,23,Action Words,The bird built a nest in the tree. Choose the correct verb.,bird,nest,built,tree,built,MCQ,
FENG222,23,Action Words,My uncle bought a new bicycle yesterday. Choose the correct verb.,yesterday,bicycle,uncle,bought,bought,MCQ,
FENG223,23,Action Words,The chef prepared tasty soup for dinner. Choose the correct verb.,chef,tasty,prepared,dinner,prepared,MCQ,
FENG224,23,Action Words,The players practiced before the match.. Choose the correct verb.,regularly,players,match,practiced,practiced,MCQ,
FENG225,23,Action Words,She carried the heavy bag upstairs. Choose the correct verb.,bag,carried,upstairs,heavy,carried,MCQ,
FENG226,23,Action Words,The mechanic fixed the car carefully. Choose the correct verb.,car,fixed,mechanic,carefully,fixed,MCQ,
FENG227,23,Action Words,The baby smiled at her mother happily. Choose the correct verb.,smiled,baby,happily,mother,smiled,MCQ,
FENG228,23,Action Words,The boys climbed the tall tree quickly. Choose the correct verb.,tree,climbed,boys,tall,climbed,MCQ,
FENG229,23,Action Words,My sister painted a beautiful picture yesterday. Choose the correct verb.,beautiful,picture,sister,painted,painted,MCQ,
FENG230,23,Action Words,The teacher checked our homework in class. Choose the correct verb.,class,teacher,checked,homework,checked,MCQ,
FENG231,24,Action Words,The lion roared loudly in the jungle. Choose the correct verb.,roared,jungle,loudly,lion,roared,MCQ,
FENG232,24,Action Words,The students listened to the story carefully. Choose the correct verb.,listened,carefully,students,story,listened,MCQ,
FENG233,24,Action Words,Father cleaned the garage on Sunday. Choose the correct verb.,cleaned,father,garage,Sunday,cleaned,MCQ,
FENG234,24,Action Words,The fisherman caught a big fish today. Choose the correct verb.,fish,caught,fisherman,big,caught,MCQ,
FENG235,24,Action Words,My cousin visited us during the holidays. Choose the correct verb.,holidays,visited,cousin,us,visited,MCQ,
FENG236,24,Action Words,The child dropped the glass accidentally. Choose the correct verb.,accidentally,child,glass,dropped,dropped,MCQ,
FENG237,24,Action Words,The birds chirped sweetly in the morning. Choose the correct verb.,birds,morning,sweetly,chirped,chirped,MCQ,
FENG238,24,Action Words,The shopkeeper counted the money twice. Choose the correct verb.,shopkeeper,counted,twice,money,counted,MCQ,
FENG239,24,Action Words,The players celebrated after winning.. Choose the correct verb.,players,joyfully,celebrated,victory,celebrated,MCQ,
FENG240,24,Action Words,My grandfather told interesting stories at night. Choose the correct verb.,grandfather,stories,night,told,told,MCQ,
FENG241,25,Action Words,The girl folded her clothes neatly. Choose the correct verb.,clothes,folded,neatly,girl,folded,MCQ,
FENG242,25,Action Words,The driver stopped the bus near the market. Choose the correct verb.,driver,bus,stopped,market,stopped,MCQ,
FENG243,25,Action Words,The students copied the notes from the board. Choose the correct verb.,notes,copied,board,students,copied,MCQ,
FENG244,25,Action Words,The waiter served food. Choose the correct verb.,guests,politely,served,waiter,served,MCQ,
FENG245,25,Action Words,The boy threw the ball over the fence. Choose the correct verb.,ball,fence,threw,boy,threw,MCQ,
FENG246,25,Action Words,My aunt baked a cake for my birthday. Choose the correct verb.,cake,aunt,birthday,baked,baked,MCQ,
FENG247,25,Action Words,The policeman helped people cross the road.,helped,road,policeman,people,helped,MCQ,
FENG248,25,Action Words,The artist drew a picture. Choose the correct verb.,picture,drew,artist,,drew,MCQ,
FENG249,25,Action Words,The little girl hugged her teddy bear tightly. Choose the correct verb.,girl,teddy bear,tightly,hugged,hugged,MCQ,
FENG250,25,Action Words,The students completed the project before deadline. Choose the correct verb.,completed,project,deadline,students,completed,MCQ,
