Subject,Category,Set,Question,Option1,Option2,Option3,Option4,Correct_Option
Brain Boosting,Classification,Level 5,Which one is different?,Lungs,Heart,Stomach,Brain,Stomach
Brain Boosting,Classification,Level 5,Which one is different?,Ganga,Amazon,Everest,Nile,Everest
Brain Boosting,Classification,Level 5,Which one is different?,Plastic,Silver,Iron,Copper,Plastic
Brain Boosting,Classification,Level 5,Which one is different?,Triangle,Sphere,Square,Pentagon,Sphere
Brain Boosting,Classification,Level 5,Which one is different?,Tuesday,September,June,April,Tuesday
Brain Boosting,Classification,Level 5,Which one is different?,Math,Football,Science,Grammar,Football
Brain Boosting,Classification,Level 5,Which one is different?,Flower,Leaf,Stem,Root,Flower
Brain Boosting,Classification,Level 5,Which one is different?,Shark,Dolphin,Whale,Crocodile,Crocodile
Brain Boosting,Classification,Level 5,Which one is different?,Newspaper,Magazine,Book,Painting,Painting
Brain Boosting,Classification,Level 5,Which one is different?,Monday,Friday,Wednesday,January,January
Brain Boosting,Classification,Level 5,Which one is different?,25,6,12,3,25
Brain Boosting,Classification,Level 5,Which one is different?,Cylinder,Rectangle,Sphere,Cube,Rectangle
Brain Boosting,Classification,Level 5,Which one is different?,Potato,Apple,Spinach,Carrot,Apple
Brain Boosting,Classification,Level 5,Which one is different?,Medicine,Teacher,Hospital,Doctor,Teacher
Brain Boosting,Classification,Level 5,Which one is different?,Africa,Europe,China,Asia,China
Brain Boosting,Classification,Level 5,Which one is different?,Piano,Guitar,Football,Violin,Football
Brain Boosting,Classification,Level 5,Which one is different?,Fire,Stone,Air,Water,Stone
Brain Boosting,Classification,Level 5,Which one is different?,8,2,4,18,18
Brain Boosting,Classification,Level 5,Which one is different?,Venus,Mercury,Sun,Saturn,Sun
Brain Boosting,Analogy,Level 1,Bird is to Fly as Fish is to ____,Run,Jump,Swim,Walk,Swim
Brain Boosting,Analogy,Level 1,Cat is to Kitten as Dog is to ____,Puppy,Foal,Calf,Cub,Puppy
Brain Boosting,Analogy,Level 1,Hand is to Glove as Foot is to ____,Shirt,Belt,Shoe,Hat,Shoe
Brain Boosting,Analogy,Level 1,Book is to Read as Food is to ____,Sleep,Write,Eat,Throw,Eat
Brain Boosting,Analogy,Level 1,Eye is to See as Ear is to ____,Touch,Smell,Taste,Hear,Hear
Brain Boosting,Analogy,Level 1,Teacher is to School as Doctor is to ____,Bank,Market,Library,Hospital,Hospital
Brain Boosting,Analogy,Level 1,Bird is to Nest as Lion is to ____,Burrow,Stable,Den,Hive,Den
Brain Boosting,Analogy,Level 1,Puppy is to Dog as Kitten is to ____,Cow,Horse,Cat,Bird,Cat
Brain Boosting,Analogy,Level 1,Hot is to Cold as Day is to ____,Night,Light,Sun,Morning,Night
Brain Boosting,Analogy,Level 1,Pen is to Write as Knife is to ____,Sing,Read,Draw,Cut,Cut
Brain Boosting,Analogy,Level 1,Plant is to Water as Fire is to ____,Ice,Wood,Fuel,Air,Fuel
Brain Boosting,Analogy,Level 1,Finger is to Hand as Toe is to ____,Head,Foot,Arm,Leg,Foot
Brain Boosting,Analogy,Level 1,Cow is to Calf as Goat is to ____,Foal,Puppy,Kid,Chick,Kid
Brain Boosting,Analogy,Level 1,Car is to Road as Boat is to ____,Water,Bridge,Track,Sky,Water
Brain Boosting,Analogy,Level 1,Smile is to Happy as Cry is to ____,Angry,Sad,Funny,Excited,Sad
Brain Boosting,Analogy,Level 2,Doctor is to Medicine as Teacher is to ____,Patient,Student,School,Book,Book
Brain Boosting,Analogy,Level 2,Clock is to Time as Thermometer is to ____,Distance,Weight,Temperature,Speed,Temperature
Brain Boosting,Analogy,Level 2,Knife is to Cut as Pen is to ____,Erase,Draw,Write,Open,Write
Brain Boosting,Analogy,Level 2,Leaf is to Tree as Petal is to ____,Flower,Branch,Root,Seed,Flower
Brain Boosting,Analogy,Level 2,Chicken is to Egg as Plant is to ____,Flower,Root,Leaf,Seed,Seed
Brain Boosting,Analogy,Level 2,King is to Queen as Man is to ____,Woman,Brother,Child,Boy,Woman
Brain Boosting,Analogy,Level 2,Water is to Thirst as Food is to ____,Hunger,Energy,Sleep,Cold,Hunger
Brain Boosting,Analogy,Level 2,Wheel is to Car as Wing is to ____,Plane,Train,Bicycle,Boat,Plane
Brain Boosting,Analogy,Level 2,Cow is to Milk as Hen is to ____,Feather,Meat,Water,Egg,Egg
Brain Boosting,Analogy,Level 2,School is to Student as Hospital is to ____,Patient,Medicine,Doctor,Teacher,Patient
Brain Boosting,Analogy,Level 2,Book is to Library as Animal is to ____,Zoo,Farm,Forest,Home,Zoo
Brain Boosting,Analogy,Level 2,Flower is to Garden as Fish is to ____,Nest,Aquarium,Desert,Forest,Aquarium
Brain Boosting,Analogy,Level 2,Egg is to Chicken as Seed is to ____,Flower,Leaf,Tree,Plant,Plant
Brain Boosting,Analogy,Level 2,Car is to Drive as Boat is to ____,Fly,Jump,Run,Sail,Sail
Brain Boosting,Analogy,Level 2,Teacher is to Teach as Doctor is to ____,Sell,Write,Cure,Build,Cure
Brain Boosting,Analogy,Level 2,Fire is to Heat as Ice is to ____,Cold,Smoke,Water,Light,Cold
Brain Boosting,Analogy,Level 2,Earth is to Planet as Sun is to ____,Cloud,Moon,Star,Stone,Star
Brain Boosting,Analogy,Level 2,Apple is to Fruit as Carrot is to ____,Flower,Plant,Seed,Vegetable,Vegetable
Brain Boosting,Analogy,Level 2,Clock is to Hours as Calendar is to ____,Colors,Books,Weeks,Numbers,Weeks
Brain Boosting,Analogy,Level 2,Foot is to Walk as Mouth is to ____,Speak,Touch,Hear,See,Speak
Brain Boosting,Analogy,Level 3,Caterpillar is to Butterfly as Tadpole is to ____,Bird,Fish,Snake,Frog,Frog
Brain Boosting,Analogy,Level 3,Pilot is to Airplane as Driver is to ____,Bicycle,Train,Boat,Car,Car
Brain Boosting,Analogy,Level 3,Wood is to Tree as Steel is to ____,Metal,Stone,Plastic,Glass,Metal
Brain Boosting,Analogy,Level 3,Smile is to Happiness as Tears are to ____,Fear,Anger,Joy,Sadness,Sadness
Brain Boosting,Analogy,Level 3,Chapter is to Book as Scene is to ____,Picture,Story,Paper,Movie,Movie
Brain Boosting,Analogy,Level 3,Knife is to Kitchen as Bed is to ____,School,Bedroom,Garden,Office,Bedroom
Brain Boosting,Analogy,Level 3,Bee is to Honey as Cow is to ____,Milk,Grass,Water,Meat,Milk
Brain Boosting,Analogy,Level 3,Small is to Tiny as Big is to ____,Short,Long,Fast,Huge,Huge
Brain Boosting,Analogy,Level 3,Hand is to Hold as Legs are to ____,Write,Eat,Sleep,Run,Run
Brain Boosting,Analogy,Level 3,Moon is to Night as Sun is to ____,Star,Cloud,Rain,Day,Day
Brain Boosting,Analogy,Level 3,Sheep is to Wool as Silkworm is to ____,Silk,Wood,Leather,Cotton,Silk
Brain Boosting,Analogy,Level 3,Carpenter is to Wood as Potter is to ____,Paper,Iron,Glass,Clay,Clay
Brain Boosting,Analogy,Level 3,Question is to Answer as Problem is to ____,Number,Game,Solution,Story,Solution
Brain Boosting,Analogy,Level 3,Heart is to Blood as Pump is to ____,Water,Oil,Stone,Air,Water
Brain Boosting,Analogy,Level 3,Gloves are to Hands as Socks are to ____,Arms,Ears,Feet,Head,Feet
Brain Boosting,Analogy,Level 3,Book is to Knowledge as Food is to ____,Hunger,Cooking,Water,Health,Health
Brain Boosting,Analogy,Level 3,Seed is to Plant as Egg is to ____,Bird,Animal,Tree,Leaf,Bird
Brain Boosting,Analogy,Level 3,Keyboard is to Computer as Steering Wheel is to ____,Bicycle,Car,Train,Boat,Car
Brain Boosting,Analogy,Level 3,Eye is to Vision as Brain is to ____,Hearing,Running,Walking,Memory,Memory
Brain Boosting,Analogy,Level 3,Author is to Book as Painter is to ____,Movie,Song,Building,Painting,Painting
Brain Boosting,Analogy,Level 4,Oxygen is to Breathing as Food is to ____,Sleep,Digestion,Growth,Energy,Energy
Brain Boosting,Analogy,Level 4,Clock is to Time as Scale is to ____,Height,Weight,Temperature,Speed,Weight
Brain Boosting,Analogy,Level 4,Student is to Learn as Athlete is to ____,Read,Compete,Sleep,Write,Compete
Brain Boosting,Analogy,Level 4,Library is to Books as Museum is to ____,Animals,Plants,Food,Artifacts,Artifacts
Brain Boosting,Analogy,Level 4,Tree is to Forest as Star is to ____,Sky,Mountain,River,Ocean,Sky
Brain Boosting,Analogy,Level 4,Doctor is to Hospital as Teacher is to ____,Factory,Market,Office,School,School
Brain Boosting,Analogy,Level 4,Water is to Liquid as Ice is to ____,Cold,Solid,Heat,Gas,Solid
Brain Boosting,Analogy,Level 4,Grammar is to Language as Rules are to ____,Game,Food,Travel,Music,Game
Brain Boosting,Analogy,Level 4,Engine is to Car as Heart is to ____,Tree,Body,House,Computer,Body
Brain Boosting,Analogy,Level 4,Compass is to Direction as Clock is to ____,Speed,Distance,Weight,Time,Time
Brain Boosting,Analogy,Level 4,Finger is to Hand as Branch is to ____,Root,Flower,Tree,Leaf,Tree
Brain Boosting,Analogy,Level 4,Fire is to Burn as Water is to ____,Cook,Flow,Freeze,Clean,Clean
Brain Boosting,Analogy,Level 4,Question is to Curiosity as Challenge is to ____,Fear,Growth,Problem,Learning,Growth
Brain Boosting,Analogy,Level 4,Keyboard is to Typing as Camera is to ____,Watching,Reading,Photography,Listening,Photography
Brain Boosting,Analogy,Level 4,Root is to Tree as Foundation is to ____,Building,House,Bridge,Road,Building
Brain Boosting,Analogy,Level 4,Memory is to Brain as Strength is to ____,Blood,Skin,Bone,Muscle,Muscle
Brain Boosting,Analogy,Level 4,Battery is to Phone as Fuel is to ____,Car,House,Book,Chair,Car
Brain Boosting,Analogy,Level 4,Earthquake is to Ground as Storm is to ____,Cloud,Wind,Rain,Sea,Wind
Brain Boosting,Analogy,Level 4,Chapter is to Book as Episode is to ____,Series,Movie,Letter,Picture,Series
Brain Boosting,Analogy,Level 4,Smile is to Face as Sound is to ____,Ear,Eye,Hand,Nose,Ear
Brain Boosting,Cause and Effect,Level 1,Why do plants need sunlight?,To move,To become taller instantly,To sleep,To make food,To make food
Brain Boosting,Cause and Effect,Level 1,Why do we need to drink water?,To change color,To stop sleeping,To become stronger instantly,To stay hydrated,To stay hydrated
Brain Boosting,Cause and Effect,Level 1,Why do we wear warm clothes in winter?,To run faster,To become healthy,To grow taller,To stay warm,To stay warm
Brain Boosting,Cause and Effect,Level 1,Why do we need food?,To stop growing,To get energy,To become invisible,To change our voice,To get energy
Brain Boosting,Cause and Effect,Level 1,Why do we breathe oxygen?,To sleep better,For our body to work,To make our hair grow,To change our height,For our body to work
Brain Boosting,Cause and Effect,Level 1,Why do plants need water?,For growth,To move around,To make noise,To fly,For growth
Brain Boosting,Cause and Effect,Level 1,Why does ice melt when heated?,Because it gets colder,Because it becomes heavier,Because it disappears,Because it gets warm,Because it gets warm
Brain Boosting,Cause and Effect,Level 1,Why do we use an umbrella in rain?,To become taller,To stay dry,To see better,To make wind,To stay dry
Brain Boosting,Cause and Effect,Level 1,Why do we brush our teeth?,To keep teeth clean,To change teeth color,To make teeth longer,To stop eating,To keep teeth clean
Brain Boosting,Cause and Effect,Level 1,Why do leaves fall from some trees?,Because of sunlight only,Seasonal changes,Because leaves can walk,Because trees move,Seasonal changes
Brain Boosting,Cause and Effect,Level 1,Why do shadows appear?,Because air stops,Because water moves,Because light is blocked,Because objects become dark,Because light is blocked
Brain Boosting,Cause and Effect,Level 1,Why do we study books?,To stop thinking,To learn new things,To make books heavy,To waste time,To learn new things
Brain Boosting,Cause and Effect,Level 1,Why do animals need food?,To change color,For energy and survival,To become humans,To fly,For energy and survival
Brain Boosting,Cause and Effect,Level 1,Why does a plant die without water?,Because it becomes a stone,Because it cannot grow,Because it moves away,Because it gets cold,Because it cannot grow
Brain Boosting,Cause and Effect,Level 1,Why do we recycle materials?,To waste resources,To stop using things,To make more pollution,To reduce waste,To reduce waste
Brain Boosting,Cause and Effect,Level 2,Why do we need sleep?,To avoid learning,To stop growing,To rest the body and brain,To become smaller,To rest the body and brain
Brain Boosting,Cause and Effect,Level 2,Why do birds have wings?,To swim underwater,To fly,To dig soil,To walk slowly,To fly
Brain Boosting,Cause and Effect,Level 2,Why do we plant trees?,To remove all animals,To get oxygen and protect nature,To stop rain,To make the sky dark,To get oxygen and protect nature
Brain Boosting,Cause and Effect,Level 2,Why does rain happen?,Because trees make water,Because rivers move upward,Water vapor forms clouds and falls,Because the sun disappears,Water vapor forms clouds and falls
Brain Boosting,Cause and Effect,Level 2,Why do we use a thermometer?,To measure weight,To measure distance,To measure speed,To measure temperature,To measure temperature
Brain Boosting,Cause and Effect,Level 2,Why do metals expand when heated?,Particles move more,They become water,They disappear,They become lighter,Particles move more
Brain Boosting,Cause and Effect,Level 2,Why do we need exercise?,To avoid movement,To stop breathing,To keep the body healthy,To lose all energy,To keep the body healthy
Brain Boosting,Cause and Effect,Level 2,Why does a ball fall when dropped?,Because it is afraid,Because of gravity,Because it becomes smaller,Because of wind,Because of gravity
Brain Boosting,Cause and Effect,Level 2,Why do we need a balanced diet?,To eat only sweets,To avoid water,To stop growing,To get different nutrients,To get different nutrients
Brain Boosting,Cause and Effect,Level 2,Why do fish live in water?,They need sunlight only,They cannot see land,They need water to survive,They need trees,They need water to survive
Brain Boosting,Cause and Effect,Level 2,Why does a plant grow toward sunlight?,It wants to move,It becomes heavier,Sunlight helps it make food,It dislikes water,Sunlight helps it make food
Brain Boosting,Cause and Effect,Level 2,Why do we see lightning before hearing thunder?,Light travels faster than sound,Sound is stronger than light,Clouds stop sound,Thunder happens first,Light travels faster than sound
Brain Boosting,Cause and Effect,Level 2,Why do fruits become ripe?,They stop growing,They become smaller instantly,They naturally change as they grow,They lose all water,They naturally change as they grow
Brain Boosting,Cause and Effect,Level 2,Why do we wear sunglasses on a sunny day?,To see in darkness,To increase heat,To protect our eyes,To make sunlight stronger,To protect our eyes
Brain Boosting,Cause and Effect,Level 2,Why does a candle go out when covered?,It becomes bigger,It becomes colder instantly,It lacks oxygen,It loses color,It lacks oxygen
Brain Boosting,Cause and Effect,Level 2,Why do we use a map?,To change weather,To make roads longer,To measure temperature,To find locations,To find locations
Brain Boosting,Cause and Effect,Level 2,Why do plants release oxygen?,Because they need no water,Because they need darkness,Because they breathe like humans,As part of photosynthesis,As part of photosynthesis
Brain Boosting,Cause and Effect,Level 2,Why does a wet cloth dry in sunlight?,Water evaporates,Cloth disappears,Cloth absorbs sunlight,Water becomes ice,Water evaporates
Brain Boosting,Cause and Effect,Level 2,Why do we have bones?,To stop movement,To make us invisible,To support and protect the body,To change our color,To support and protect the body
Brain Boosting,Cause and Effect,Level 2,Why does a plant need roots?,To absorb water and nutrients,To fly,To move around,To make sounds,To absorb water and nutrients
Brain Boosting,Cause and Effect,Level 3,Why do we see stars at night?,The sky becomes dark enough to see them,The moon creates stars,Stars appear only at night,Stars move closer to Earth,The sky becomes dark enough to see them
Brain Boosting,Cause and Effect,Level 3,Why do animals adapt to their environment?,To become humans,To stop eating,To change into plants,To survive better,To survive better
Brain Boosting,Cause and Effect,Level 3,Why does a magnet attract iron?,Because it produces water,Because of sunlight,Because iron is alive,Because of magnetic force,Because of magnetic force
Brain Boosting,Cause and Effect,Level 3,Why do we need air?,To create darkness,For breathing and survival,To make objects heavy,To stop movement,For breathing and survival
Brain Boosting,Cause and Effect,Level 3,Why does a rainbow appear after rain?,Light passes through water drops,The sun disappears,Rain creates colors directly,Clouds become colorful,Light passes through water drops
Brain Boosting,Cause and Effect,Level 3,Why do birds build nests?,To protect their eggs and babies,To catch sunlight,To change their color,To store water,To protect their eggs and babies
Brain Boosting,Cause and Effect,Level 3,Why does food spoil?,It gets more energy,It turns into water,Germs grow over time,Food becomes stronger,Germs grow over time
Brain Boosting,Cause and Effect,Level 3,Why do we need doctors?,To build houses,To teach math,To help treat illness,To make food,To help treat illness
Brain Boosting,Cause and Effect,Level 3,Why do plants grow slowly compared to humans?,They move slowly,They do not need sunlight,They cannot breathe,Their growth process takes time,Their growth process takes time
Brain Boosting,Cause and Effect,Level 3,Why does a balloon rise when filled with helium?,The balloon gets cold,The air disappears,Helium is lighter than air,The balloon becomes heavier,Helium is lighter than air
Brain Boosting,Cause and Effect,Level 3,Why do we conserve electricity?,To stop using machines,To make lights brighter forever,To increase pollution,To save energy resources,To save energy resources
Brain Boosting,Cause and Effect,Level 3,Why do animals hibernate in winter?,To change species,To grow faster,To learn new skills,To save energy during cold periods,To save energy during cold periods
Brain Boosting,Cause and Effect,Level 3,Why does a plant bend toward light?,It loses water,It wants to escape,It becomes heavier,It helps get more sunlight,It helps get more sunlight
Brain Boosting,Cause and Effect,Level 3,Why do we wash fruits before eating?,To change taste,To make them bigger,To remove vitamins,To remove dirt and germs,To remove dirt and germs
Brain Boosting,Cause and Effect,Level 3,Why does a mirror show our reflection?,Because of heat,The mirror creates a person,Light reflects from the surface,Because of sound,Light reflects from the surface
Brain Boosting,Cause and Effect,Level 3,Why do we see our reflection in water?,Water creates images,Because of sound,Water produces light,Light reflects from the surface,Light reflects from the surface
Brain Boosting,Cause and Effect,Level 3,Why do plants need carbon dioxide?,To change color,To make food during photosynthesis,To grow without water,To produce noise,To make food during photosynthesis
Brain Boosting,Cause and Effect,Level 3,Why does a metal spoon feel cold?,It produces water,It creates ice,Metal transfers heat quickly,It has no temperature,Metal transfers heat quickly
Brain Boosting,Cause and Effect,Level 3,Why do we open windows in a room?,To stop sunlight,To remove furniture,To make the room smaller,To allow fresh air inside,To allow fresh air inside
Brain Boosting,Cause and Effect,Level 3,Why does a plant grow weak without sunlight?,It cannot make enough food,It changes into an animal,It stops needing water,It becomes too heavy,It cannot make enough food
Brain Boosting,Cause and Effect,Level 4,Why do we get a shadow behind an object?,The object blocks light,The object absorbs air,The object creates darkness,The object produces smoke,The object blocks light
Brain Boosting,Cause and Effect,Level 4,Why does salt dissolve in water?,Water disappears,Salt becomes a gas,Water changes into salt,Salt particles mix with water,Salt particles mix with water
Brain Boosting,Cause and Effect,Level 4,Why do we need a helmet while riding a bicycle?,To avoid exercise,To protect the head,To make the bicycle heavier,To increase speed,To protect the head
Brain Boosting,Cause and Effect,Level 4,Why do birds migrate?,To stop breathing,To change their color,To learn flying,To find food and suitable climate,To find food and suitable climate
Brain Boosting,Cause and Effect,Level 4,Why does a seed need soil?,To avoid sunlight,To get nutrients and support,To produce sound,To become an animal,To get nutrients and support
Brain Boosting,Cause and Effect,Level 4,Why does a rubber band return to its shape?,It has no weight,It is elastic,It becomes liquid,It produces heat,It is elastic
Brain Boosting,Cause and Effect,Level 4,Why do we need a battery in a toy car?,To make it heavier,To add color,To stop movement,To provide energy,To provide energy
Brain Boosting,Cause and Effect,Level 4,Why do clouds form?,Clouds are solid objects,Sun creates clouds directly,Water vapor cools and condenses,Clouds are made from smoke,Water vapor cools and condenses
Brain Boosting,Cause and Effect,Level 4,Why do we hear echoes?,Sound waves reflect back,Sound becomes light,Sound disappears,Air stops moving,Sound waves reflect back
Brain Boosting,Cause and Effect,Level 4,Why do humans sweat?,To increase body heat,To lose all water,To cool the body,To stop movement,To cool the body
Brain Boosting,Cause and Effect,Level 4,Why do we see the moon at night?,It moves away from Earth,It produces its own light,It reflects sunlight,It is a star,It reflects sunlight
Brain Boosting,Cause and Effect,Level 4,Why does bread become hard after many days?,It gains water,It gets more energy,It becomes metal,It loses moisture and changes,It loses moisture and changes
Brain Boosting,Cause and Effect,Level 4,Why do we use fertilizer in farming?,To provide nutrients to plants,To remove sunlight,To stop plant growth,To make soil disappear,To provide nutrients to plants
Brain Boosting,Cause and Effect,Level 4,Why does a boat float on water?,It becomes invisible,Its shape helps it stay on water,It produces air,It has no weight,Its shape helps it stay on water
Brain Boosting,Cause and Effect,Level 4,Why do we feel hot near fire?,Fire produces water,Fire creates cold,Fire releases heat,Fire removes air,Fire releases heat
Brain Boosting,Cause and Effect,Level 4,Why do plants lose water from leaves?,Because of darkness,Because leaves drink water,Through transpiration,Because roots stop working,Through transpiration
Brain Boosting,Cause and Effect,Level 4,Why do we use sunscreen?,To make skin colder,To create sunlight,To increase heat,To protect skin from harmful sunlight,To protect skin from harmful sunlight
Brain Boosting,Cause and Effect,Level 4,Why do we need clean water?,For health and survival,To remove oxygen,To stop plants growing,To make pollution,For health and survival
Brain Boosting,Cause and Effect,Level 4,Why does a ball bounce?,It has no weight,Gravity stops working,It creates energy,The material is elastic,The material is elastic
Brain Boosting,Cause and Effect,Level 4,Why do we plant more trees?,To increase pollution,To stop rainfall,To reduce oxygen,To improve the environment,To improve the environment
