Id,Category,Set,Question,Option1,Option2,Option3,Option4,Correct_Option
ENG45,Part of Speech,Noun_2,"""A noun can name a person, place, animal, or _________.""",describe,doing,thing,action,thing
ENG46,Part of Speech,Noun_2,Which word is NOT a Noun?,school,run,teacher,book,run
ENG47,Part of Speech,Noun_2,Which word is NOT a Noun?,elephant,car,garden,happy,happy
ENG48,Part of Speech,Noun_2,Which word is a Naming Word?,quickly,kind,mountain,jump,mountain
ENG49,Part of Speech,Noun_2,Which word is a Naming Word?,play,beautiful,loudly,river,river
ENG50,Part of Speech,Noun_2,Which word is a Naming Word?,run,airport,slowly,sing,airport
ENG51,Part of Speech,Noun_3,Which word is a Noun (Naming Word)?,market,quickly,run,happy,market
ENG52,Part of Speech,Noun_3,Which word is a Noun (Naming Word)?,jump,slowly,beautiful,teacher,teacher
ENG53,Part of Speech,Noun_3,Which word is a Noun (Naming Word)?,loudly,castle,play,kind,castle
ENG54,Part of Speech,Noun_3,Which word is a Noun (Naming Word)?,blue,pilot,fast,swim,pilot
ENG55,Part of Speech,Noun_3,Which word is a Noun (Naming Word)?,island,quickly,sing,happy,island
ENG56,Part of Speech,Noun_3,The _________ flew high in the sky. (Noun),jump,slowly,run,kite,kite
ENG57,Part of Speech,Noun_3,We visited the _________ to borrow books. (Noun),library,play,quickly,kind,library
ENG58,Part of Speech,Noun_3,The _________ cooked a delicious meal. (Noun),fast,sing,chef,loudly,chef
ENG59,Part of Speech,Noun_3,I wrote with a _________. (Noun),jump,happy,crayon,run,crayon
ENG60,Part of Speech,Noun_3,The _________ carried passengers across the river. (Noun),kind,boat,swim,slowly,boat
ENG61,Part of Speech,Noun_3,"Pick out the Naming Word: ""The monkey climbed the tree.""",the,quickly,monkey,climbed,monkey
ENG62,Part of Speech,Noun_3,"Pick out the Naming Word: ""The baker sold fresh bread.""",quickly,baker,fresh,sold,baker
ENG63,Part of Speech,Noun_3,"Pick out the Naming Word: ""The rabbit hid in the bush.""",hid,quietly,rabbit,in,rabbit
ENG64,Part of Speech,Noun_3,"Pick out the Naming Word: ""The artist painted a picture.""",painted,carefully,a,artist,artist
ENG65,Part of Speech,Noun_3,"Pick out the Naming Word: ""The bus stopped near the school.""",near,safely,stopped,bus,bus
ENG66,Part of Speech,Noun_3,Which word names a place?,beach,run,happy,jump,beach
ENG67,Part of Speech,Noun_3,Which word names a person?,quickly,blue,firefighter,swim,firefighter
ENG68,Part of Speech,Noun_3,Which word names an animal?,play,loudly,penguin,kind,penguin
ENG69,Part of Speech,Noun_3,Which word names a thing?,helmet,run,happily,sing,helmet
ENG70,Part of Speech,Noun_3,A Naming Word is another name for a _________.,conjunction,verb,noun,adjective,noun
ENG71,Part of Speech,Noun_3,Which word is NOT a Noun?,carrot,school,tiger,run,run
ENG72,Part of Speech,Noun_3,Which word is NOT a Noun?,airport,teacher,book,happy,happy
ENG73,Part of Speech,Noun_3,Which word is a Naming Word?,jump,quickly,kind,crown,crown
ENG74,Part of Speech,Noun_3,Which word is a Naming Word?,loudly,play,forest,beautiful,forest
ENG75,Part of Speech,Noun_3,Which word is a Naming Word?,slowly,run,sing,astronaut,astronaut
ENG76,Part of Speech,Pronoun_1,Rina is my friend. _________ is very kind. (Pronoun),It,They,He,She,She
ENG77,Part of Speech,Pronoun_1,Karim has a bicycle. _________ rides it every day. (Pronoun),It,They,She,He,He
ENG78,Part of Speech,Pronoun_1,My cat is sleeping. _________ is under the table. (Pronoun),It,She,He,We,It
ENG79,Part of Speech,Pronoun_1,Ali and I are classmates. _________ study together. (Pronoun),They,It,We,You,We
ENG80,Part of Speech,Pronoun_1,Rupa and Sima are sisters. _________ play together. (Pronoun),They,We,She,It,They
ENG81,Part of Speech,Pronoun_1,_________ am going to school now. (Pronoun),You,I,He,They,I
ENG82,Part of Speech,Pronoun_1,Can _________ help me carry this bag? (Pronoun),He,I,You,She,You
ENG83,Part of Speech,Pronoun_1,The dog is barking because _________ is hungry. (Pronoun),It,You,We,They,It
ENG84,Part of Speech,Pronoun_1,My parents are at home. _________ are watching TV. (Pronoun),They,She,He,We,They
ENG85,Part of Speech,Pronoun_1,Sara is reading a book. _________ likes reading. (Pronoun),She,They,He,It,She
ENG86,Part of Speech,Pronoun_1,"Replace the Naming Word: ""Tom is playing football."" (Pronoun)",They,He,It,She,He
ENG87,Part of Speech,Pronoun_1,"Replace the Naming Word: ""The bird is flying."" (Pronoun)",They,He,It,We,It
ENG88,Part of Speech,Pronoun_1,"Replace the Naming Words: ""Rina and Mina are singing."" (Pronoun)",She,We,They,It,They
ENG89,Part of Speech,Pronoun_1,Which word is a Pronoun?,happy,run,he,cat,he
ENG90,Part of Speech,Pronoun_1,Which word is a Pronoun?,red,jump,book,they,they
ENG91,Part of Speech,Pronoun_1,_________ are my best friends. (Pronoun),It,She,He,They,They
ENG92,Part of Speech,Pronoun_1,My brother is tall. _________ plays basketball. (Pronoun),We,They,He,She,He
ENG93,Part of Speech,Pronoun_1,The flower is beautiful. _________ smells nice. (Pronoun),He,It,You,They,It
ENG94,Part of Speech,Pronoun_1,Nila and I went to the zoo. _________ saw many animals. (Pronoun),She,We,They,It,We
ENG95,Part of Speech,Pronoun_1,_________ are a good student. (Pronoun),I,You,She,He,You
ENG96,Part of Speech,Pronoun_1,"Pick out the Pronoun: ""She is drawing a picture.""",She,picture,is,drawing,She
ENG97,Part of Speech,Pronoun_1,"Pick out the Pronoun: ""They are playing in the field.""",They,playing,are,field,They
ENG98,Part of Speech,Pronoun_1,"Pick out the Pronoun: ""We love our school.""",We,love,school,our,We
ENG99,Part of Speech,Pronoun_1,A pronoun is used instead of a _________ Word.,Doing,Naming,Joining,Describing,Naming
ENG100,Part of Speech,Pronoun_1,"Replace the Naming Word: ""The children are laughing."" (Pronoun)",She,It,They,He,They
ENG101,Part of Speech,Pronoun_2,The boys are playing cricket. _________ are having fun. (Pronoun),She,It,They,He,They
ENG102,Part of Speech,Pronoun_2,My mother is a teacher. _________ teaches English. (Pronoun),She,He,We,They,She
ENG103,Part of Speech,Pronoun_2,I have a pet fish. _________ swims in a bowl. (Pronoun),She,It,He,They,It
ENG104,Part of Speech,Pronoun_2,Rahim and I went shopping. _________ bought some fruit. (Pronoun),They,He,She,We,We
ENG105,Part of Speech,Pronoun_2,_________ am reading a storybook. (Pronoun),I,They,She,You,I
ENG106,Part of Speech,Pronoun_2,"""The teacher asked, ""Can _________ answer this question?"" (Pronoun)""",he,you,they,she,you
ENG107,Part of Speech,Pronoun_2,My sisters are singing. _________ sound wonderful. (Pronoun),It,She,He,They,They
ENG108,Part of Speech,Pronoun_2,The rabbit is eating a carrot. _________ looks happy. (Pronoun),It,We,You,They,It
ENG109,Part of Speech,Pronoun_2,Fatema is my cousin. _________ lives in Dhaka. (Pronoun),He,It,They,She,She
ENG110,Part of Speech,Pronoun_2,The students are studying. _________ have an exam tomorrow. (Pronoun),They,She,He,We,They
ENG111,Part of Speech,Pronoun_2,"Replace the Naming Word: ""Mina is drawing a flower."" (Pronoun)",It,He,They,She,She
ENG112,Part of Speech,Pronoun_2,"Replace the Naming Word: ""The tiger is sleeping."" (Pronoun)",They,He,It,We,It
ENG113,Part of Speech,Pronoun_2,"Replace the Naming Words: ""Tom and Jerry are friends."" (Pronoun)",It,He,She,They,They
ENG114,Part of Speech,Pronoun_2,Which word is a Pronoun?,book,run,they,beautiful,they
ENG115,Part of Speech,Pronoun_2,Which word is a Pronoun?,jump,green,we,school,we
ENG116,Part of Speech,Pronoun_2,_________ are going to the playground after school. (Pronoun),She,He,They,It,They
ENG117,Part of Speech,Pronoun_2,My father drives a car. _________ goes to work every day. (Pronoun),They,We,He,She,He
ENG118,Part of Speech,Pronoun_2,The computer is new. _________ works very fast. (Pronoun),They,He,It,You,It
ENG119,Part of Speech,Pronoun_2,Ali and I cleaned the room. _________ finished quickly. (Pronoun),She,We,They,He,We
ENG120,Part of Speech,Pronoun_2,_________ are my best teacher. (Pronoun),He,She,You,It,You
ENG121,Part of Speech,Pronoun_2,"Pick out the Pronoun: ""He is riding a bicycle.""",is,riding,He,bicycle,He
ENG122,Part of Speech,Pronoun_2,"Pick out the Pronoun: ""It is raining outside.""",outside,is,It,raining,It
ENG123,Part of Speech,Pronoun_2,"Pick out the Pronoun: ""You are very helpful.""",very,are,You,helpful,You
ENG124,Part of Speech,Pronoun_2,A pronoun can replace a _________. (Pronoun),Noun,Verb,Conjunction,Adjective,Noun
ENG125,Part of Speech,Pronoun_2,"Replace the Naming Word: ""The girls are dancing."" (Pronoun)",They,She,It,He,They
ENG126,Part of Speech,Pronoun_3,Arif is my brother. _________ likes football. (Pronoun),She,It,They,He,He
ENG127,Part of Speech,Pronoun_3,The birds are flying in the sky. _________ are very high. (Pronoun),They,It,She,He,They
ENG128,Part of Speech,Pronoun_3,I have a new pencil. _________ is blue. (Pronoun),It,She,He,They,It
ENG129,Part of Speech,Pronoun_3,Salma and I are in the same class. _________ sit together. (Pronoun),She,They,He,We,We
ENG130,Part of Speech,Pronoun_3,_________ are my best friends. (Pronoun),It,They,She,He,They
ENG131,Part of Speech,Pronoun_3,My uncle is a doctor. _________ works at a hospital. (Pronoun),They,She,We,He,He
ENG132,Part of Speech,Pronoun_3,The baby is sleeping. _________ is very quiet. (Pronoun),They,It,He,We,It
ENG133,Part of Speech,Pronoun_3,Can _________ tell me the time? (Pronoun),She,I,He,You,You
ENG134,Part of Speech,Pronoun_3,The children are in the library. _________ are reading books. (Pronoun),He,They,It,She,They
ENG135,Part of Speech,Pronoun_3,_________ am learning English. (Pronoun),You,He,They,I,I
ENG136,Part of Speech,Pronoun_3,"Replace the Naming Word: ""Rahim is eating an apple."" (Pronoun)",They,He,It,She,He
ENG137,Part of Speech,Pronoun_3,"Replace the Naming Word: ""The horse is running fast."" (Pronoun)",They,We,It,He,It
ENG138,Part of Speech,Pronoun_3,"Replace the Naming Words: ""Rita and Tina are watching TV."" (Pronoun)",It,He,She,They,They
ENG139,Part of Speech,Pronoun_3,Which word is a Pronoun?,happy,car,they,run,they
ENG140,Part of Speech,Pronoun_3,Which word is a Pronoun?,green,jump,you,tree,you
ENG141,Part of Speech,Pronoun_3,_________ are going to visit our grandparents tomorrow. (Pronoun),He,She,They,It,They
ENG142,Part of Speech,Pronoun_3,My aunt is cooking dinner. _________ is in the kitchen. (Pronoun),It,They,He,She,She
ENG143,Part of Speech,Pronoun_3,The clock stopped working. _________ needs a new battery. (Pronoun),It,He,They,She,It
ENG144,Part of Speech,Pronoun_3,Mina and I planted flowers. _________ watered them every day. (Pronoun),We,He,They,She,We
ENG145,Part of Speech,Pronoun_3,_________ are a very kind person. (Pronoun),He,I,She,You,You
ENG146,Part of Speech,Pronoun_3,"Pick out the Pronoun: ""They went to the market.""",market,They,went,to,They
ENG147,Part of Speech,Pronoun_3,"Pick out the Pronoun: ""She sings beautifully.""",beautifully,sings,She,very,She
ENG148,Part of Speech,Pronoun_3,"Pick out the Pronoun: ""It is on the table.""",on,table,It,is,It
ENG149,Part of Speech,Pronoun_3,A pronoun takes the place of a _________. (Pronoun),Conjunction,Adjective,Verb,Noun,Noun
ENG150,Part of Speech,Pronoun_3,"Replace the Naming Words: ""The boys are playing football."" (Pronoun)",It,She,He,They,They
ENG151,Part of Speech,Adjective_1,She wore a _____ dress to the party. (Adjective),softly,beautiful,quickly,danced,beautiful
ENG152,Part of Speech,Adjective_1,The _____ tiger scared the villagers. (Adjective),jumped,slowly,fierce,loudly,fierce
ENG153,Part of Speech,Adjective_1,We live in a _____ house near the river. (Adjective),ran,happily,small,carefully,small
ENG154,Part of Speech,Adjective_1,The soup was very _____ today. (Adjective),tasty,ate,loudly,quickly,tasty
ENG155,Part of Speech,Adjective_1,He bought a _____ bicycle for his son. (Adjective),shiny,repaired,neatly,shouted,shiny
ENG156,Part of Speech,Adjective_1,The mountain is very _____. (Adjective),high,climbed,silently,played,high
ENG157,Part of Speech,Adjective_1,My grandfather told an _____ story. (Adjective),pushed,interesting,walked,slowly,interesting
ENG158,Part of Speech,Adjective_1,The baby has _____ cheeks. (Adjective),opened,quickly,soft,cried,soft
ENG159,Part of Speech,Adjective_1,We saw a _____ rainbow after the rain. (Adjective),loudly,jumped,danced,colorful,colorful
ENG160,Part of Speech,Adjective_1,The classroom was _____ after cleaning. (Adjective),swept,wrote,clean,carefully,clean
ENG161,Part of Speech,Adjective_1,The _____ puppy followed the boy home. (Adjective),sadly,repaired,cute,climbed,cute
ENG162,Part of Speech,Adjective_1,She gave me a _____ smile. (Adjective),painted,warm,fixed,silently,warm
ENG163,Part of Speech,Adjective_1,The road becomes _____ during winter. (Adjective),folded,slippery,washed,shouted,slippery
ENG164,Part of Speech,Adjective_1,It was a _____ day at the beach. (Adjective),swam,loudly,chased,sunny,sunny
ENG165,Part of Speech,Adjective_1,The _____ flowers filled the garden with beauty. (Adjective),quickly,fragrant,repaired,opened,fragrant
ENG166,Part of Speech,Adjective_1,He carried a _____ bag to school. (Adjective),laughed,floated,softly,heavy,heavy
ENG167,Part of Speech,Adjective_1,The movie was very _____. (Adjective),pushed,carefully,watched,exciting,exciting
ENG168,Part of Speech,Adjective_1,They adopted a _____ kitten from the shelter. (Adjective),climbed,tiny,borrowed,neatly,tiny
ENG169,Part of Speech,Adjective_1,The teacher gave us a _____ task. (Adjective),danced,difficult,silently,explained,difficult
ENG170,Part of Speech,Adjective_1,We enjoyed the _____ weather yesterday. (Adjective),mixed,shouted,pleasant,repaired,pleasant
ENG171,Part of Speech,Adjective_1,The _____ river flows through the village. (Adjective),wide,carried,happily,folded,wide
ENG172,Part of Speech,Adjective_1,She wore a _____ scarf in winter. (Adjective),softly,jumped,woolen,washed,woolen
ENG173,Part of Speech,Adjective_1,The child solved the _____ puzzle quickly. (Adjective),tricky,laughed,repaired,opened,tricky
ENG174,Part of Speech,Adjective_1,The old man lived in a _____ cottage. (Adjective),shouted,climbed,quiet,painted,quiet
ENG175,Part of Speech,Adjective_1,We visited a _____ museum during our trip. (Adjective),borrowed,famous,danced,floated,famous
ENG176,Part of Speech,Adjective_2,The _____ elephant walked through the forest. (Adjective),softly,ran,painted,huge,huge
ENG177,Part of Speech,Adjective_2,She bought a _____ handbag from the market. (Adjective),stylish,loudly,washed,climbed,stylish
ENG178,Part of Speech,Adjective_2,The _____ boy helped the old woman cross the road. (Adjective),repaired,kind,jumped,quickly,kind
ENG179,Part of Speech,Adjective_2,We enjoyed the _____ breeze in the evening. (Adjective),shouted,cool,folded,fixed,cool
ENG180,Part of Speech,Adjective_2,The teacher praised the _____ student. (Adjective),hardworking,carried,slowly,painted,hardworking
ENG181,Part of Speech,Adjective_2,They stayed in a _____ hotel near the beach. (Adjective),opened,luxurious,mixed,laughed,luxurious
ENG182,Part of Speech,Adjective_2,The _____ cake tasted delicious. (Adjective),silently,repaired,danced,chocolate,chocolate
ENG183,Part of Speech,Adjective_2,He wore a _____ jacket during the trip. (Adjective),thick,washed,climbed,floated,thick
ENG184,Part of Speech,Adjective_2,The _____ garden attracted many visitors. (Adjective),borrowed,beautiful,pushed,quickly,beautiful
ENG185,Part of Speech,Adjective_2,We saw a _____ deer in the jungle. (Adjective),shouted,graceful,folded,repaired,graceful
ENG186,Part of Speech,Adjective_2,The child asked a _____ question in class. (Adjective),carried,jumped,clever,washed,clever
ENG187,Part of Speech,Adjective_2,The _____ pillow made me sleep comfortably. (Adjective),laughed,fluffy,climbed,painted,fluffy
ENG188,Part of Speech,Adjective_2,The villagers crossed the _____ bridge carefully. (Adjective),floated,repaired,mixed,narrow,narrow
ENG189,Part of Speech,Adjective_2,It was a _____ performance by the singer. (Adjective),danced,opened,amazing,fixed,amazing
ENG190,Part of Speech,Adjective_2,The _____ room looked bright and cheerful. (Adjective),pushed,borrowed,climbed,spacious,spacious
ENG191,Part of Speech,Adjective_2,The _____ fox disappeared into the woods. (Adjective),folded,washed,shouted,clever,clever
ENG192,Part of Speech,Adjective_2,My aunt prepared a _____ meal for dinner. (Adjective),healthy,floated,jumped,repaired,healthy
ENG193,Part of Speech,Adjective_2,The _____ clouds covered the sky. (Adjective),carried,dark,opened,laughed,dark
ENG194,Part of Speech,Adjective_2,We visited an _____ castle during our vacation. (Adjective),mixed,climbed,ancient,washed,ancient
ENG195,Part of Speech,Adjective_2,The _____ baby slept peacefully in the cradle. (Adjective),sleepy,shouted,repaired,folded,sleepy
ENG196,Part of Speech,Adjective_2,The _____ athlete won the gold medal. (Adjective),painted,borrowed,talented,floated,talented
ENG197,Part of Speech,Adjective_2,The _____ road led to the mountain village. (Adjective),winding,jumped,carried,fixed,winding
ENG198,Part of Speech,Adjective_2,She wore a _____ necklace at the party. (Adjective),sparkling,climbed,repaired,washed,sparkling
ENG199,Part of Speech,Adjective_2,The _____ farmer worked in the field all day. (Adjective),laughed,hardworking,pushed,opened,hardworking
ENG200,Part of Speech,Adjective_2,The _____ library was full of old books. (Adjective),quiet,floated,repaired,mixed,quiet
ENG201,Part of Speech,Adjective_3,The girl wore a beautiful dress to the party. Choose the correct adjective.,girl,wore,beautiful,dress,beautiful
ENG202,Part of Speech,Adjective_3,We visited an ancient temple last summer. Choose the correct adjective.,ancient,summer,temple,visited,ancient
ENG203,Part of Speech,Adjective_3,The hungry child ate the sandwich quickly. Choose the correct adjective.,ate,hungry,sandwich,child,hungry
ENG204,Part of Speech,Adjective_3,He bought a shiny new laptop yesterday. Choose the correct adjective.,bought,shiny,yesterday,laptop,shiny
ENG205,Part of Speech,Adjective_3,The tall building can be seen from far away. Choose the correct adjective.,away,tall,seen,building,tall
ENG206,Part of Speech,Adjective_3,She lives in a quiet neighborhood near the lake. Choose the correct adjective.,lake,lives,quiet,near,quiet
ENG207,Part of Speech,Adjective_3,The brave soldier saved many people. Choose the correct adjective.,people,soldier,brave,saved,brave
ENG208,Part of Speech,Adjective_3,We enjoyed the delicious food at the restaurant. Choose the correct adjective.,delicious,enjoyed,food,restaurant,delicious
ENG209,Part of Speech,Adjective_3,The small kitten slept on the sofa. Choose the correct adjective.,small,slept,kitten,sofa,small
ENG210,Part of Speech,Adjective_3,The clever student answered all the questions. Choose the correct adjective.,student,clever,answered,questions,clever
ENG211,Part of Speech,Adjective_3,My uncle drives a fast car on highways. Choose the correct adjective.,fast,highways,uncle,car,fast
ENG212,Part of Speech,Adjective_3,The old man walked slowly with a stick. Choose the correct adjective.,slowly,walked,stick,old,old
ENG213,Part of Speech,Adjective_3,She wore a colorful scarf in winter. Choose the correct adjective.,wore,colorful,winter,scarf,colorful
ENG214,Part of Speech,Adjective_3,The strong wind damaged several trees. Choose the correct adjective.,wind,trees,damaged,strong,strong
ENG215,Part of Speech,Adjective_3,We saw a beautiful rainbow after the rain. Choose the correct adjective.,rain,beautiful,rainbow,saw,beautiful
ENG216,Part of Speech,Adjective_3,The happy children played in the park. Choose the correct adjective.,happy,park,played,children,happy
ENG217,Part of Speech,Adjective_3,The teacher told an interesting story today. Choose the correct adjective.,teacher,interesting,today,story,interesting
ENG218,Part of Speech,Adjective_3,He carried a heavy bag to school. Choose the correct adjective.,carried,bag,heavy,school,heavy
ENG219,Part of Speech,Adjective_3,The cold weather forced us to stay inside. Choose the correct adjective.,weather,forced,cold,inside,cold
ENG220,Part of Speech,Adjective_3,The young artist painted a wonderful picture. Choose the correct adjective.,artist,painted,picture,wonderful,wonderful
ENG221,Part of Speech,Adjective_3,We stayed in a comfortable hotel during vacation. Choose the correct adjective.,vacation,hotel,comfortable,stayed,comfortable
ENG222,Part of Speech,Adjective_3,The noisy crowd cheered for the team. Choose the correct adjective.,cheered,noisy,crowd,team,noisy
ENG223,Part of Speech,Adjective_3,The smart boy solved the puzzle easily. Choose the correct adjective.,easily,puzzle,solved,smart,smart
ENG224,Part of Speech,Adjective_3,She adopted a cute puppy from the shelter. Choose the correct adjective.,puppy,shelter,adopted,cute,cute
ENG225,Part of Speech,Adjective_3,The rich businessman donated money to charity. Choose the correct adjective.,businessman,rich,donated,charity,rich
ENG226,Part of Speech,Adjective_4,The lazy cat slept near the fireplace. Choose the correct adjective.,cat,lazy,slept,fireplace,lazy
ENG227,Part of Speech,Adjective_4,We crossed a narrow bridge over the river. Choose the correct adjective.,crossed,narrow,bridge,river,narrow
ENG228,Part of Speech,Adjective_4,The honest boy returned the lost wallet. Choose the correct adjective.,honest,boy,wallet,returned,honest
ENG229,Part of Speech,Adjective_4,She bought a soft pillow for her bed. Choose the correct adjective.,bed,bought,pillow,soft,soft
ENG230,Part of Speech,Adjective_4,The bright sun warmed the whole village. Choose the correct adjective.,bright,warmed,village,sun,bright
ENG231,Part of Speech,Adjective_4,The poor farmer worked all day in the field. Choose the correct adjective.,farmer,poor,worked,field,poor
ENG232,Part of Speech,Adjective_4,He wore a clean shirt to school. Choose the correct adjective.,wore,school,clean,shirt,clean
ENG233,Part of Speech,Adjective_4,The friendly dog wagged its tail happily. Choose the correct adjective.,happily,dog,wagged,friendly,friendly
ENG234,Part of Speech,Adjective_4,We enjoyed the fresh air in the countryside. Choose the correct adjective.,air,fresh,enjoyed,countryside,fresh
ENG235,Part of Speech,Adjective_4,The little girl carried a basket of flowers. Choose the correct adjective.,basket,girl,little,carried,little
ENG236,Part of Speech,Adjective_4,The empty classroom looked very quiet. Choose the correct adjective.,classroom,quiet,looked,empty,empty
ENG237,Part of Speech,Adjective_4,The clever fox escaped from the trap. Choose the correct adjective.,fox,clever,escaped,trap,clever
ENG238,Part of Speech,Adjective_4,She lives in a modern apartment in the city. Choose the correct adjective.,apartment,modern,lives,city,modern
ENG239,Part of Speech,Adjective_4,The thirsty traveler drank cold water. Choose the correct adjective.,drank,traveler,thirsty,water,thirsty
ENG240,Part of Speech,Adjective_4,The gentle nurse cared for the patient kindly. Choose the correct adjective.,gentle,nurse,cared,kindly,gentle
ENG241,Part of Speech,Adjective_4,The red balloon floated into the sky. Choose the correct adjective.,balloon,red,sky,floated,red
ENG242,Part of Speech,Adjective_4,We walked along a sandy beach at sunset. Choose the correct adjective.,sunset,walked,beach,sandy,sandy
ENG243,Part of Speech,Adjective_4,The angry teacher scolded the noisy students. Choose the correct adjective.,teacher,angry,scolded,students,angry
ENG244,Part of Speech,Adjective_4,The broken chair was lying outside the room. Choose the correct adjective.,lying,broken,room,chair,broken
ENG245,Part of Speech,Adjective_4,The cheerful singer entertained the audience. Choose the correct adjective.,singer,audience,entertained,cheerful,cheerful
ENG246,Part of Speech,Adjective_4,He climbed the steep hill without stopping. Choose the correct adjective.,climbed,hill,stopping,steep,steep
ENG247,Part of Speech,Adjective_4,The lonely child sat quietly in the corner. Choose the correct adjective.,corner,lonely,sat,child,lonely
ENG248,Part of Speech,Adjective_4,The golden necklace was very expensive. Choose the correct adjective.,golden,necklace,expensive,very,golden
ENG249,Part of Speech,Adjective_4,The famous actor visited our town yesterday. Choose the correct adjective.,actor,famous,visited,yesterday,famous
ENG250,Part of Speech,Adjective_4,The weak patient needed immediate treatment. Choose the correct adjective.,treatment,patient,needed,weak,weak
ENG251,Part of Speech,Verb_1,I _____ the bus because I was late. (Verb),ate,jumped,missed,rushed,missed
ENG252,Part of Speech,Verb_1,She _____ her homework before dinner. (Verb),completed,painted,danced,slept,completed
ENG253,Part of Speech,Verb_1,They _____ football in the field yesterday. (Verb),played,washed,opened,cooked,played
