id,Category,Set,Question,Option1,Option2,Option3,Option4,Correct_Option
MAT115,Multiplication (3x),Level 3,A tricycle has 3 wheels. How many wheels do 5 tricycles have?,14,15,16,17,15
MAT116,Multiplication (3x),Level 3,A teacher gives 3 pencils to each of 3 students. How many pencils are given?,8,9,10,11,9
MAT117,Multiplication (3x),Level 3,Each box has 3 chocolates. How many chocolates are in 4 boxes?,11,12,13,14,12
MAT118,Multiplication (3x),Level 3,There are 3 flowers in each vase. How many flowers are in 6 vases?,17,18,19,20,18
MAT119,Multiplication (3x),Level 3,A child gets 3 stickers. How many stickers does 1 child get?,2,3,4,5,3
MAT120,Multiplication (3x),Level 3,Each packet has 3 biscuits. How many biscuits are in 7 packets?,20,21,22,23,21
MAT121,Multiplication (3x),Level 3,There are 3 birds on each tree. How many birds are on 9 trees?,26,27,28,29,27
MAT122,Multiplication (3x),Level 3,Each bag has 3 oranges. How many oranges are in 10 bags?,29,30,31,32,30
MAT123,Multiplication (3x),Level 3,Each shelf holds 3 books. How many books are on 8 shelves?,23,24,25,26,24
MAT124,Multiplication (4x),Level 1,What is 4 × 1 ?,3,4,5,6,4
MAT125,Multiplication (4x),Level 1,What is 4 × 2 ?,6,7,8,9,8
MAT126,Multiplication (4x),Level 1,What is 4 × 3 ?,10,11,12,13,12
MAT127,Multiplication (4x),Level 1,What is 4 × 4 ?,14,15,16,17,16
MAT128,Multiplication (4x),Level 1,What is 4 × 5 ?,18,19,20,21,20
MAT129,Multiplication (4x),Level 1,What is 4 × 6 ?,22,23,24,25,24
MAT130,Multiplication (4x),Level 1,What is 4 × 7 ?,26,27,28,29,28
MAT131,Multiplication (4x),Level 1,What is 4 × 8 ?,30,31,32,33,32
MAT132,Multiplication (4x),Level 1,What is 4 × 9 ?,34,35,36,37,36
MAT133,Multiplication (4x),Level 1,What is 4 × 10 ?,38,39,40,41,40
MAT134,Multiplication (4x),Level 2,What is 5 × 4 ?,18,19,20,21,20
MAT135,Multiplication (4x),Level 2,What is 1 × 4 ?,3,4,5,6,4
MAT136,Multiplication (4x),Level 2,What is 9 × 4 ?,34,35,36,37,36
MAT137,Multiplication (4x),Level 2,What is 2 × 4 ?,6,7,8,9,8
MAT138,Multiplication (4x),Level 2,What is 7 × 4 ?,26,27,28,29,28
MAT139,Multiplication (4x),Level 2,What is 3 × 4 ?,10,11,12,13,12
MAT140,Multiplication (4x),Level 2,What is 4 × 4 ?,14,15,16,17,16
MAT141,Multiplication (4x),Level 2,What is 10 × 4 ?,38,39,40,41,40
MAT142,Multiplication (4x),Level 2,What is 6 × 4 ?,22,23,24,25,24
MAT143,Multiplication (4x),Level 2,What is 8 × 4 ?,30,31,32,33,32
MAT144,Multiplication (4x),Level 3,There are 4 apples in each basket. How many apples are in 2 baskets?,6,7,8,9,8
MAT145,Multiplication (4x),Level 3,Each packet has 4 biscuits. How many biscuits are in 7 packets?,26,27,28,29,28
MAT146,Multiplication (4x),Level 3,A teacher gives 4 pencils to each of 3 students. How many pencils are given?,10,11,12,13,12
MAT147,Multiplication (4x),Level 3,Each box has 4 chocolates. How many chocolates are in 4 boxes?,14,15,16,17,16
MAT148,Multiplication (4x),Level 3,A child gets 4 stickers. How many stickers does 1 child get?,3,4,5,6,4
MAT149,Multiplication (4x),Level 3,A car has 4 wheels. How many wheels do 5 cars have?,18,19,20,21,20
MAT150,Multiplication (4x),Level 3,Each shelf holds 4 books. How many books are on 8 shelves?,30,31,32,33,32
MAT151,Multiplication (4x),Level 3,There are 4 birds on each tree. How many birds are on 9 trees?,34,35,36,37,36
MAT152,Multiplication (4x),Level 3,There are 4 flowers in each vase. How many flowers are in 6 vases?,22,23,24,25,24
MAT153,Multiplication (4x),Level 3,Each bag has 4 oranges. How many oranges are in 10 bags?,38,39,40,41,40
MAT154,Multiplication (5x),Level 1,What is 5 × 1 ?,4,5,6,7,5
MAT155,Multiplication (5x),Level 1,What is 5 × 2 ?,8,9,10,11,10
MAT156,Multiplication (5x),Level 1,What is 5 × 3 ?,13,14,15,16,15
MAT157,Multiplication (5x),Level 1,What is 5 × 4 ?,18,19,20,21,20
MAT158,Multiplication (5x),Level 1,What is 5 × 5 ?,23,24,25,26,25
MAT159,Multiplication (5x),Level 1,What is 5 × 6 ?,28,29,30,31,30
MAT160,Multiplication (5x),Level 1,What is 5 × 7 ?,33,34,35,36,35
MAT161,Multiplication (5x),Level 1,What is 5 × 8 ?,38,39,40,41,40
MAT162,Multiplication (5x),Level 1,What is 5 × 9 ?,43,44,45,46,45
MAT163,Multiplication (5x),Level 1,What is 5 × 10 ?,48,49,50,51,50
MAT164,Multiplication (5x),Level 2,What is 5 × 5 ?,23,24,25,26,25
MAT165,Multiplication (5x),Level 2,What is 1 × 5 ?,4,5,6,7,5
MAT166,Multiplication (5x),Level 2,What is 3 × 5 ?,13,14,15,16,15
MAT167,Multiplication (5x),Level 2,What is 4 × 5 ?,18,19,20,21,20
MAT168,Multiplication (5x),Level 2,What is 2 × 5 ?,8,9,10,11,10
MAT169,Multiplication (5x),Level 2,What is 6 × 5 ?,28,29,30,31,30
MAT170,Multiplication (5x),Level 2,What is 10 × 5 ?,48,49,50,51,50
MAT171,Multiplication (5x),Level 2,What is 7 × 5 ?,33,34,35,36,35
MAT172,Multiplication (5x),Level 2,What is 8 × 5 ?,38,39,40,41,40
MAT173,Multiplication (5x),Level 2,What is 9 × 5 ?,43,44,45,46,45
MAT174,Multiplication (5x),Level 3,There are 5 apples in each basket. How many apples are in 2 baskets?,8,9,10,11,10
MAT175,Multiplication (5x),Level 3,A hand has 5 fingers. How many fingers do 5 hands have?,23,24,25,26,25
MAT176,Multiplication (5x),Level 3,A teacher gives 5 pencils to each of 3 students. How many pencils are given?,13,14,15,16,15
MAT177,Multiplication (5x),Level 3,Each packet has 5 biscuits. How many biscuits are in 7 packets?,33,34,35,36,35
MAT178,Multiplication (5x),Level 3,Each box has 5 chocolates. How many chocolates are in 4 boxes?,18,19,20,21,20
MAT179,Multiplication (5x),Level 3,There are 5 flowers in each vase. How many flowers are in 6 vases?,28,29,30,31,30
MAT180,Multiplication (5x),Level 3,Each bag has 5 oranges. How many oranges are in 10 bags?,48,49,50,51,50
MAT181,Multiplication (5x),Level 3,There are 5 birds on each tree. How many birds are on 9 trees?,43,44,45,46,45
MAT182,Multiplication (5x),Level 3,A child gets 5 stickers. How many stickers does 1 child get?,4,5,6,7,5
MAT183,Multiplication (5x),Level 3,Each shelf holds 5 books. How many books are on 8 shelves?,38,39,40,41,40
MAT184,Multiplication (6x),Level 1,What is 6 × 1 ?,5,6,7,8,6
MAT185,Multiplication (6x),Level 1,What is 6 × 2 ?,10,12,14,16,12
MAT186,Multiplication (6x),Level 1,What is 6 × 3 ?,16,18,20,22,18
MAT187,Multiplication (6x),Level 1,What is 6 × 4 ?,22,24,26,28,24
MAT188,Multiplication (6x),Level 1,What is 6 × 5 ?,28,30,32,34,30
MAT189,Multiplication (6x),Level 1,What is 6 × 6 ?,34,36,38,40,36
MAT190,Multiplication (6x),Level 1,What is 6 × 7 ?,40,42,44,46,42
MAT191,Multiplication (6x),Level 1,What is 6 × 8 ?,46,48,50,52,48
MAT192,Multiplication (6x),Level 1,What is 6 × 9 ?,52,54,56,58,54
MAT193,Multiplication (6x),Level 1,What is 6 × 10 ?,58,60,62,64,60
MAT194,Multiplication (6x),Level 2,What is 4 × 6 ?,22,24,26,28,24
MAT195,Multiplication (6x),Level 2,What is 1 × 6 ?,5,6,7,8,6
MAT196,Multiplication (6x),Level 2,What is 2 × 6 ?,10,12,14,16,12
MAT197,Multiplication (6x),Level 2,What is 8 × 6 ?,46,48,50,52,48
MAT198,Multiplication (6x),Level 2,What is 3 × 6 ?,16,18,20,22,18
MAT199,Multiplication (6x),Level 2,What is 5 × 6 ?,28,30,32,34,30
MAT200,Multiplication (6x),Level 2,What is 7 × 6 ?,40,42,44,46,42
MAT201,Multiplication (6x),Level 2,What is 9 × 6 ?,52,54,56,58,54
MAT202,Multiplication (6x),Level 2,What is 10 × 6 ?,58,60,62,64,60
MAT203,Multiplication (6x),Level 2,What is 6 × 6 ?,34,36,38,40,36
MAT204,Multiplication (6x),Level 3,A teacher gives 6 pencils to each of 3 students. How many pencils are given?,16,18,20,22,18
MAT205,Multiplication (6x),Level 3,A packet has 6 biscuits. How many biscuits are in 8 packets?,46,48,50,52,48
MAT206,Multiplication (6x),Level 3,Each box has 6 chocolates. How many chocolates are in 4 boxes?,22,24,26,28,24
MAT207,Multiplication (6x),Level 3,A spider has 6 legs. How many legs do 5 spiders have?,24,28,30,32,30
MAT208,Multiplication (6x),Level 3,Each shelf holds 6 books. How many books are on 10 shelves?,58,60,62,64,60
MAT209,Multiplication (6x),Level 3,There are 6 flowers in each vase. How many flowers are in 6 vases?,34,35,36,37,36
MAT210,Multiplication (6x),Level 3,Each week has 6 school days. How many school days are there in 7 weeks?,40,41,42,43,42
MAT211,Multiplication (6x),Level 3,There are 6 birds on each tree. How many birds are on 9 trees?,52,54,56,58,54
MAT212,Multiplication (6x),Level 3,There are 6 apples in each basket. How many apples are in 2 baskets?,10,12,14,16,12
MAT213,Multiplication (6x),Level 3,A shop sells 6 balloons every hour. How many balloons are sold in 1 hour?,5,6,7,8,6
MAT214,Multiplication (7x ),Level 1,What is 7 × 1 ?,6,7,8,9,7
MAT215,Multiplication (7x ),Level 1,What is 7 × 2 ?,12,13,14,15,14
MAT216,Multiplication (7x ),Level 1,What is 7 × 3 ?,19,20,21,22,21
MAT217,Multiplication (7x ),Level 1,What is 7 × 4 ?,26,27,28,29,28
MAT218,Multiplication (7x ),Level 1,What is 7 × 5 ?,33,34,35,36,35
MAT219,Multiplication (7x ),Level 1,What is 7 × 6 ?,40,41,42,43,42
MAT220,Multiplication (7x ),Level 1,What is 7 × 7 ?,47,48,49,50,49
MAT221,Multiplication (7x ),Level 1,What is 7 × 8 ?,54,55,56,57,56
MAT222,Multiplication (7x ),Level 1,What is 7 × 9 ?,61,62,63,64,63
MAT223,Multiplication (7x ),Level 1,What is 7 × 10 ?,68,69,70,71,70
MAT224,Multiplication (7x ),Level 2,What is 1 × 7 ?,6,7,8,9,7
MAT225,Multiplication (7x ),Level 2,What is 6 × 7 ?,40,41,42,43,42
MAT226,Multiplication (7x ),Level 2,What is 2 × 7 ?,12,13,14,15,14
MAT227,Multiplication (7x ),Level 2,What is 4 × 7 ?,26,27,28,29,28
MAT228,Multiplication (7x ),Level 2,What is 5 × 7 ?,33,34,35,36,35
MAT229,Multiplication (7x ),Level 2,What is 10 × 7 ?,68,69,70,71,70
MAT230,Multiplication (7x ),Level 2,What is 8 × 7 ?,54,55,56,57,56
MAT231,Multiplication (7x ),Level 2,What is 9 × 7 ?,61,62,63,64,63
MAT232,Multiplication (7x ),Level 2,What is 7 × 7 ?,47,48,49,50,49
MAT233,Multiplication (7x ),Level 2,What is 3 × 7 ?,19,20,21,22,21
MAT234,Multiplication (7x ),Level 3,There are 7 apples in each basket. How many apples are in 2 baskets?,12,14,16,18,14
MAT235,Multiplication (7x ),Level 3,A teacher gives 7 pencils to each of 3 students. How many pencils are given?,20,21,22,23,21
MAT236,Multiplication (7x ),Level 3,There are 7 birds on each tree. How many birds are on 9 trees?,61,62,63,64,63
MAT237,Multiplication (7x ),Level 3,Each box has 7 chocolates. How many chocolates are in 4 boxes?,26,27,28,29,28
MAT238,Multiplication (7x ),Level 3,There are 7 flowers in each vase. How many flowers are in 6 vases?,40,41,42,43,42
MAT239,Multiplication (7x ),Level 3,A spider has 7 toy stickers on each page. How many stickers are on 7 pages?,47,48,49,50,49
MAT240,Multiplication (7x ),Level 3,Each packet has 7 biscuits. How many biscuits are in 8 packets?,54,55,56,57,56
MAT241,Multiplication (7x ),Level 3,Each shelf holds 7 books. How many books are on 10 shelves?,68,69,70,71,70
MAT242,Multiplication (7x ),Level 3,A week has 7 days. How many days are there in 5 weeks?,33,34,35,36,35
MAT243,Multiplication (7x ),Level 3,A shop sells 7 balloons every hour. How many balloons are sold in 1 hour?,6,7,8,9,7
MAT244,Multiplication (8x ),Level 1,What is 8 × 1 ?,7,8,9,10,8
MAT245,Multiplication (8x ),Level 1,What is 8 × 2 ?,14,15,16,17,16
MAT246,Multiplication (8x ),Level 1,What is 8 × 3 ?,22,23,24,25,24
MAT247,Multiplication (8x ),Level 1,What is 8 × 4 ?,30,31,32,33,32
MAT248,Multiplication (8x ),Level 1,What is 8 × 5 ?,38,39,40,41,40
MAT249,Multiplication (8x ),Level 1,What is 8 × 6 ?,46,47,48,49,48
MAT250,Multiplication (8x ),Level 1,What is 8 × 7 ?,54,55,56,57,56
MAT251,Multiplication (8x ),Level 1,What is 8 × 8 ?,62,63,64,65,64
MAT252,Multiplication (8x ),Level 1,What is 8 × 9 ?,70,71,72,73,72
MAT253,Multiplication (8x ),Level 1,What is 8 × 10 ?,78,79,80,81,80
MAT254,Multiplication (8x ),Level 2,What is 8 × 6 ?,46,47,48,49,48
MAT255,Multiplication (8x ),Level 2,What is 3 × 8 ?,22,23,24,25,24
MAT256,Multiplication (8x ),Level 2,What is 10 × 8 ?,78,79,80,81,80
MAT257,Multiplication (8x ),Level 2,What is 1 × 8 ?,7,8,9,10,8
MAT258,Multiplication (8x ),Level 2,What is 7 × 8 ?,54,55,56,57,56
MAT259,Multiplication (8x ),Level 2,What is 5 × 8 ?,38,39,40,41,40
MAT260,Multiplication (8x ),Level 2,What is 8 × 8 ?,62,63,64,65,64
MAT261,Multiplication (8x ),Level 2,What is 2 × 8 ?,14,15,16,17,16
MAT262,Multiplication (8x ),Level 2,What is 9 × 8 ?,70,71,72,73,72
MAT263,Multiplication (8x ),Level 2,What is 4 × 8 ?,30,31,32,33,32
MAT264,Multiplication (8x ),Level 3,Each packet has 8 biscuits. How many biscuits are in 7 packets?,54,55,56,57,56
MAT265,Multiplication (8x ),Level 3,There are 8 apples in each basket. How many apples are in 2 baskets?,14,15,16,17,16
MAT266,Multiplication (8x ),Level 3,Each shelf holds 8 books. How many books are on 10 shelves?,78,79,80,81,80
MAT267,Multiplication (8x ),Level 3,A spider has 8 legs. How many legs do 4 spiders have?,30,31,32,33,32
MAT268,Multiplication (8x ),Level 3,There are 8 flowers in each vase. How many flowers are in 6 vases?,46,47,48,49,48
MAT269,Multiplication (8x ),Level 3,Each box has 8 chocolates. How many chocolates are in 8 boxes?,62,63,64,65,64
MAT270,Multiplication (8x ),Level 3,A teacher gives 8 pencils to each of 3 students. How many pencils are given?,22,23,24,25,24
MAT271,Multiplication (8x ),Level 3,Each bag has 8 oranges. How many oranges are in 5 bags?,38,39,40,41,40
MAT272,Multiplication (8x ),Level 3,There are 8 birds on each tree. How many birds are on 9 trees?,70,71,72,73,72
MAT273,Multiplication (8x ),Level 3,A shop sells 8 balloons every hour. How many balloons are sold in 1 hour?,7,8,9,10,8
MAT274,Multiplication (9x ),Level 1,What is 9 × 1 ?,8,9,10,11,9
MAT275,Multiplication (9x ),Level 1,What is 9 × 2 ?,16,17,18,19,18
MAT276,Multiplication (9x ),Level 1,What is 9 × 3 ?,25,26,27,28,27
MAT277,Multiplication (9x ),Level 1,What is 9 × 4 ?,34,35,36,37,36
MAT278,Multiplication (9x ),Level 1,What is 9 × 5 ?,43,44,45,46,45
MAT279,Multiplication (9x ),Level 1,What is 9 × 6 ?,52,53,54,55,54
MAT280,Multiplication (9x ),Level 1,What is 9 × 7 ?,61,62,63,64,63
MAT281,Multiplication (9x ),Level 1,What is 9 × 8 ?,70,71,72,73,72
MAT282,Multiplication (9x ),Level 1,What is 9 × 9 ?,79,80,81,82,81
MAT283,Multiplication (9x ),Level 1,What is 9 × 10 ?,88,89,90,91,90
MAT284,Multiplication (9x ),Level 2,What is 7 × 9 ?,61,62,63,64,63
MAT285,Multiplication (9x ),Level 2,What is 2 × 9 ?,16,17,18,19,18
MAT286,Multiplication (9x ),Level 2,What is 10 × 9 ?,88,89,90,91,90
MAT287,Multiplication (9x ),Level 2,What is 4 × 9 ?,34,35,36,37,36
MAT288,Multiplication (9x ),Level 2,What is 1 × 9 ?,8,9,10,11,9
MAT289,Multiplication (9x ),Level 2,What is 8 × 9 ?,70,71,72,73,72
MAT290,Multiplication (9x ),Level 2,What is 5 × 9 ?,43,44,45,46,45
MAT291,Multiplication (9x ),Level 2,What is 9 × 9 ?,79,80,81,82,81
MAT292,Multiplication (9x ),Level 2,What is 3 × 9 ?,25,26,27,28,27
MAT293,Multiplication (9x ),Level 2,What is 6 × 9 ?,52,53,54,55,54
MAT294,Multiplication (9x ),Level 3,Each packet has 9 biscuits. How many biscuits are in 8 packets?,70,71,72,73,72
MAT295,Multiplication (9x ),Level 3,There are 9 apples in each basket. How many apples are in 3 baskets?,25,26,27,28,27
MAT296,Multiplication (9x ),Level 3,Each shelf holds 9 books. How many books are on 10 shelves?,88,89,90,91,90
MAT297,Multiplication (9x ),Level 3,A cat has 9 toy balls. How many toy balls do 5 cats have?,43,44,45,46,45
MAT298,Multiplication (9x ),Level 3,There are 9 flowers in each vase. How many flowers are in 6 vases?,52,53,54,55,54
MAT299,Multiplication (9x ),Level 3,Each box has 9 chocolates. How many chocolates are in 9 boxes?,79,80,81,82,81
MAT300,Multiplication (9x ),Level 3,A teacher gives 9 pencils to each of 2 students. How many pencils are given?,16,17,18,19,18
MAT301,Multiplication (9x ),Level 3,Each bag has 9 oranges. How many oranges are in 7 bags?,61,62,63,64,63
MAT302,Multiplication (9x ),Level 3,There are 9 birds on each tree. How many birds are on 4 trees?,34,35,36,37,36
MAT303,Multiplication (9x ),Level 3,A shop sells 9 balloons every hour. How many balloons are sold in 1 hour?,8,9,10,11,9
MAT304,Multiplication (10x ),Level 1,What is 10 × 1 ?,9,10,11,12,10
MAT305,Multiplication (10x ),Level 1,What is 10 × 2 ?,18,19,20,21,20
MAT306,Multiplication (10x ),Level 1,What is 10 × 3 ?,28,29,30,31,30
MAT307,Multiplication (10x ),Level 1,What is 10 × 4 ?,38,39,40,41,40
MAT308,Multiplication (10x ),Level 1,What is 10 × 5 ?,48,49,50,51,50
MAT309,Multiplication (10x ),Level 1,What is 10 × 6 ?,58,59,60,61,60
MAT310,Multiplication (10x ),Level 1,What is 10 × 7 ?,68,69,70,71,70
MAT311,Multiplication (10x ),Level 1,What is 10 × 8 ?,78,79,80,81,80
MAT312,Multiplication (10x ),Level 1,What is 10 × 9 ?,88,89,90,91,90
