Id,Level,TopicHeading,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData
18,6,Shapes,Match the shapes with their number of sides,,,,,,Match,"[{""left"":""Triangle"",""right"":""3""},{""left"":""Square"",""right"":""4""},{""left"":""Pentagon"",""right"":""5""},{""left"":""Hexagon"",""right"":""6""}]"
19,7,Comparison,Match the comparison with the correct sign,,,,,,Match,"[{""left"":""8 and 5"",""right"":"">""},{""left"":""3 and 7"",""right"":""<""},{""left"":""6 and 6"",""right"":""=""},{""left"":""9 and 2"",""right"":"">""}]"
20,7,Multiplication,Match the multiplication sums with their answers,,,,,,Match,"[{""left"":""2 × 3"",""right"":""6""},{""left"":""4 × 2"",""right"":""8""},{""left"":""5 × 2"",""right"":""10""},{""left"":""3 × 3"",""right"":""9""}]"
21,7,Division,Match the division sums with their answers,,,,,,Match,"[{""left"":""8 ÷ 2"",""right"":""4""},{""left"":""10 ÷ 2"",""right"":""5""},{""left"":""12 ÷ 3"",""right"":""4""},{""left"":""9 ÷ 3"",""right"":""3""}]"
22,8,Measurement,Match the object with the suitable unit,,,,,,Match,"[{""left"":""Pencil"",""right"":""cm""},{""left"":""Road"",""right"":""m""},{""left"":""Rice"",""right"":""kg""},{""left"":""Milk"",""right"":""L""}]"
23,8,Time,Match the time with the part of the day,,,,,,Match,"[{""left"":""7:00 AM"",""right"":""Morning""},{""left"":""1:00 PM"",""right"":""Afternoon""},{""left"":""6:00 PM"",""right"":""Evening""},{""left"":""9:00 PM"",""right"":""Night""}]"
24,8,Ordinal Numbers,Match the ordinal numbers with their words,,,,,,Match,"[{""left"":""1st"",""right"":""First""},{""left"":""2nd"",""right"":""Second""},{""left"":""3rd"",""right"":""Third""},{""left"":""4th"",""right"":""Fourth""}]"
25,9,Test,Match the animals with their homes,,,,,,Match,"[{""left"":""Dog"",""right"":""Kennel""},{""left"":""Bird"",""right"":""Nest""},{""left"":""Fish"",""right"":""Pond""}]"
26,9,Test,2 + 3 = _____,,,,,5,FillBlank,
27,9,Test,87|25|-,,,,,62,ColumnMath,
28,10,Test,The match was cancelled because the field was wet. (Pick out the Conjunction),,,,,because,FillBlank,Part of Speech
29,10,Test,"I knocked on the door, _____ nobody answered.",,,,,but,FillBlank,Part of Speech
30,10,Test,What number comes after 37? Answer: _____,,,,,38,FillBlank,
31,10,Mixed Measurement,Which unit is best to measure the length of a pencil?,Centimeter,Meter,Kilogram,Liter,Centimeter,MCQ,
32,10,Mixed Measurement,Which unit is best to measure the height of a tree?,Centimeter,Meter,Gram,Milliliter,Meter,MCQ,
33,10,Mixed Measurement,Which unit is best to measure the weight of an apple?,Gram,Kilogram,Centimeter,Liter,Gram,MCQ,
34,10,Mixed Measurement,Which unit is best to measure the weight of an elephant?,Gram,Kilogram,Centimeter,Milliliter,Kilogram,MCQ,
35,10,Mixed Measurement,Which unit is best to measure the amount of water in a bottle?,Milliliter,Liter,Centimeter,Kilogram,Milliliter,MCQ,
36,10,Mixed Measurement,Which unit is best to measure the water in a swimming pool?,Milliliter,Liter,Gram,Centimeter,Liter,MCQ,
37,10,Mixed Measurement,Which unit is best to measure the length of a classroom?,Centimeter,Meter,Gram,Liter,Meter,MCQ,
38,10,Mixed Measurement,Which unit is best to measure the weight of a school bag?,Gram,Kilogram,Milliliter,Centimeter,Kilogram,MCQ,
39,10,Mixed Measurement,Which unit is best to measure a spoonful of syrup?,Milliliter,Liter,Gram,Meter,Milliliter,MCQ,
40,10,Mixed Measurement,Which unit is best to measure the length of an eraser?,Centimeter,Meter,Kilogram,Liter,Centimeter,MCQ,
41,10,Mixed Measurement,Which unit is smaller?,Centimeter,Meter,Gram,Kilogram,Centimeter,MCQ,
42,10,Mixed Measurement,Which unit is heavier?,Gram,Kilogram,Centimeter,Milliliter,Kilogram,MCQ,
43,10,Mixed Measurement,Which unit holds more liquid?,Milliliter,Liter,Gram,Kilogram,Liter,MCQ,
44,10,Mixed Measurement,Which unit is used to measure milk in a carton?,Liter,Kilogram,Centimeter,Gram,Liter,MCQ,
45,10,Mixed Measurement,Which unit is best to measure the weight of a coin?,Gram,Kilogram,Milliliter,Liter,Gram,MCQ,
46,10,Mixed Measurement,Which unit is best to measure the length of a road?,Centimeter,Meter,Gram,Milliliter,Meter,MCQ,
47,10,Mixed Measurement,How many centimeters are in 1 meter?,10,100,1000,50,100,MCQ,
48,10,Mixed Measurement,How many grams are in 1 kilogram?,100,1000,10,500,1000,MCQ,
49,10,Mixed Measurement,How many milliliters are in 1 liter?,100,1000,10,500,1000,MCQ,
50,10,Mixed Measurement,Which is longer?,1 meter,50 centimeters,25 centimeters,10 centimeters,1 meter,MCQ,
